dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,baseline,,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,high,0.01,0.6517232120037079,0.011044809034705375,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,high,0.05,0.6499589622020722,0.011612622812529512,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,high,0.1,0.6488172471523285,0.011377083193385717,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,high,0.2,0.646899276971817,0.010206882567919602,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,high,0.3,0.6482091069221496,0.010285246600637052,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,low,0.01,0.6533154129981995,0.01128098482650199,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,low,0.05,0.6543246030807495,0.01096293619031009,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,low,0.1,0.655333811044693,0.01096329817870376,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,low,0.2,0.6591814756393433,0.010512681074921912,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,low,0.3,0.6611816644668579,0.010080915730506604,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_high,0.01,0.6540445208549499,0.011141515058278102,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_high,0.05,0.65634526014328,0.010451031128868008,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_high,0.1,0.6581947565078735,0.009493990881393747,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_high,0.2,0.6618418455123901,0.007874549155062444,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_high,0.3,0.6619448125362396,0.007298334670577357,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_low,0.01,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_low,0.05,0.6534666955471039,0.011342494134911887,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_low,0.1,0.6528419196605683,0.011516754405913803,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_low,0.2,0.6535954892635345,0.01115045708901645,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_low,0.3,0.654559975862503,0.00986398459047905,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_matched_high,0.01,0.6538534820079803,0.011207140144529858,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_matched_high,0.05,0.6575511336326599,0.010694687910732316,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_matched_high,0.1,0.6593751430511474,0.010508423796068492,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_matched_high,0.2,0.666201651096344,0.008994671419223428,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_matched_high,0.3,0.6655424952507019,0.008078411273255946,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_matched_low,0.01,0.6533167719841003,0.011351011284357818,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_matched_low,0.05,0.6533581197261811,0.011041064386465486,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_matched_low,0.1,0.6568435370922089,0.010171411009458212,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_matched_low,0.2,0.6555718958377839,0.009147706414112673,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,deg_matched_low,0.3,0.6595907032489776,0.00976389544916891,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conf_high,0.01,0.6529964745044708,0.011214208444003811,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conf_high,0.05,0.6511183261871338,0.010951830251122457,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conf_high,0.1,0.6504945576190948,0.011108981301162342,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conf_high,0.2,0.6499525964260101,0.010078727250340619,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conf_high,0.3,0.6519966542720794,0.00868500693268195,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conf_low,0.01,0.6538536012172699,0.01132632632776959,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conf_low,0.05,0.6546898186206818,0.01131704523549824,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conf_low,0.1,0.6552068769931794,0.01142739664596905,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conf_low,0.2,0.6572508692741394,0.011268007753601554,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,conf_low,0.3,0.6615715563297272,0.01031868498604803,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,random,0.01,0.6536835670471192,0.01126479259465436,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,random,0.05,0.6553184390068054,0.010908394733547435,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,random,0.1,0.6582146048545837,0.009846144619353858,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,random,0.2,0.6578653514385223,0.009796222640928361,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,mean,acc,random,0.3,0.6612217009067536,0.00922216665552808,10
