dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,baseline,,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,high,0.01,0.651637864112854,0.01118066188057091,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,high,0.05,0.6504763782024383,0.01177509508831117,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,high,0.1,0.649269962310791,0.011446904584566353,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,high,0.2,0.6455898940563202,0.010761533780377131,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,high,0.3,0.64905064702034,0.010069701760638747,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,low,0.01,0.6531645834445954,0.011330481477366056,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,low,0.05,0.6539378225803375,0.011182754280491796,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,low,0.1,0.6548822224140167,0.011119593195924952,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,low,0.2,0.6590510845184326,0.010641842159441115,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,low,0.3,0.6618244171142578,0.010132582934045195,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_high,0.01,0.6533364117145538,0.011322101155764505,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_high,0.05,0.6554878056049347,0.01053216176463787,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_high,0.1,0.6570154130458832,0.009619267668734522,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_high,0.2,0.6604465246200562,0.007523963091592249,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_high,0.3,0.6635564267635345,0.007728228000153519,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_low,0.01,0.6533167719841003,0.011351011284357818,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_low,0.05,0.6534006595611572,0.011404816344114188,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_low,0.1,0.6537869930267334,0.011104090044451296,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_low,0.2,0.6539827287197113,0.010891823190451226,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_low,0.3,0.6546452224254609,0.009662482845009812,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_matched_high,0.01,0.6537031054496765,0.011228111943028874,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_matched_high,0.05,0.6568434774875641,0.010840249659644008,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_matched_high,0.1,0.6593162834644317,0.01073330404061691,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_matched_high,0.2,0.666438639163971,0.008847245890001838,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_matched_high,0.3,0.6656275391578674,0.008634640345756941,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_matched_low,0.01,0.6534015655517578,0.011321940160147858,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_matched_low,0.05,0.6531224966049194,0.010967989225388728,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_matched_low,0.1,0.6573825120925904,0.009862789695231456,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_matched_low,0.2,0.6562612414360046,0.009178674677834371,10
citeseer,GeneralSheaf,5,4,true,avg_z,masking,zero,acc,deg_matched_low,0.3,0.6585165917873382,0.009673828352305692,10
