dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,baseline,,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,high,0.01,0.8269617795944214,0.006240665745976998,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,high,0.05,0.8221328020095825,0.006104241625081416,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,high,0.1,0.8195171058177948,0.005996175215194065,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,high,0.2,0.8146881341934205,0.0053647262087011096,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,high,0.3,0.8096579551696778,0.005812065545670437,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,low,0.01,0.8291750431060791,0.006165289370613781,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,low,0.05,0.8293762445449829,0.005980972442379339,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,low,0.1,0.8289738297462463,0.005740584978404803,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,low,0.2,0.82776660323143,0.006196397693842111,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,low,0.3,0.8263581573963166,0.006260420463502896,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_high,0.01,0.8255533218383789,0.005880277792965644,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_high,0.05,0.8221328020095825,0.005570203794315814,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_high,0.1,0.8213279724121094,0.0060549647295940505,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_high,0.2,0.8185110688209534,0.004943310834101313,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_high,0.3,0.8138833045959473,0.005068262048402563,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_low,0.01,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_low,0.05,0.8285714209079742,0.005857863639561685,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_low,0.1,0.8287726283073426,0.005665692238312891,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_low,0.2,0.8285714209079742,0.005419913973239049,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_low,0.3,0.8281690120697022,0.005692422767648504,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_matched_high,0.01,0.8281690120697022,0.006235477445887577,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_matched_high,0.05,0.8267605602741241,0.0067243573441269295,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_matched_high,0.1,0.8263581454753876,0.006049951089750813,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_matched_high,0.2,0.8251509130001068,0.00669418387105728,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_matched_high,0.3,0.8223340034484863,0.005859586806148252,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_matched_low,0.01,0.8289738416671752,0.006253630513134483,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_matched_low,0.05,0.8285714268684388,0.006200318629412953,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_matched_low,0.1,0.8289738476276398,0.006513646294652489,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_matched_low,0.2,0.8291750490665436,0.006039234333602379,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,deg_matched_low,0.3,0.8219315886497498,0.00702354383867066,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,conf_high,0.01,0.8277665972709656,0.006057641767875827,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,conf_high,0.05,0.8213279724121094,0.006271727213446615,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,conf_high,0.1,0.8183098673820496,0.006043251504220939,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,conf_high,0.2,0.8156941711902619,0.005340143947581512,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,conf_high,0.3,0.8116700232028962,0.005123476592713176,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,conf_low,0.01,0.8295774579048156,0.006292676832005674,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,conf_low,0.05,0.8291750371456146,0.006275929400866306,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,conf_low,0.1,0.8293762445449829,0.005850950648330596,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,conf_low,0.2,0.8275653898715973,0.005677111537505685,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,conf_low,0.3,0.82595574259758,0.006177091776117621,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,random,0.01,0.8279678046703338,0.006209779171300569,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,random,0.05,0.8281690120697022,0.006183318550519929,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,random,0.1,0.8249496936798095,0.005995840660651818,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,random,0.2,0.8233400464057923,0.006635566854547785,10
cora,GeneralSheaf,5,3,true,avg_z,masking,mean,acc,random,0.3,0.8211267650127411,0.005550180935087287,10
