dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,baseline,,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,high,0.01,0.8269617795944214,0.006240665745976998,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,high,0.05,0.8225352108478546,0.006174143654072544,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,high,0.1,0.8199195146560669,0.0059772416836580055,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,high,0.2,0.8148893356323242,0.005726455856150478,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,high,0.3,0.808450710773468,0.005703786890029539,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,low,0.01,0.8291750431060791,0.006165289370613781,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,low,0.05,0.8295774519443512,0.005921448644478096,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,low,0.1,0.8291750371456146,0.005672835580102811,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,low,0.2,0.8275653898715973,0.005845754652069014,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,low,0.3,0.8263581573963166,0.006069989337709999,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_high,0.01,0.8255533218383789,0.005955528868939935,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_high,0.05,0.8221328020095825,0.005692419354605724,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_high,0.1,0.8211267650127411,0.005944641350023461,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_high,0.2,0.8164989948272705,0.004768226469111728,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_high,0.3,0.8108651995658874,0.004752917361703416,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_low,0.01,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_low,0.05,0.8285714209079742,0.005857863639561685,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_low,0.1,0.8285714209079742,0.005632367503619036,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_low,0.2,0.828370213508606,0.0052780017107470914,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_low,0.3,0.8281690120697022,0.005628050945891763,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_matched_high,0.01,0.8281690120697022,0.006235477445887577,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_matched_high,0.05,0.8271629750728607,0.006831867955710349,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_matched_high,0.1,0.8267605602741241,0.006138964865477576,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_matched_high,0.2,0.8241448760032654,0.0065767355140693776,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_matched_high,0.3,0.8219315946102143,0.0062746310917372984,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_matched_low,0.01,0.8289738416671752,0.006253630513134483,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_matched_low,0.05,0.8285714268684388,0.006200318629412953,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_matched_low,0.1,0.828772634267807,0.006460288799707256,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_matched_low,0.2,0.8291750490665436,0.006039234333602379,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,deg_matched_low,0.3,0.8229376256465912,0.007033623867856459,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,conf_high,0.01,0.8277665972709656,0.006057641767875827,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,conf_high,0.05,0.8211267650127411,0.006275921680689396,10
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,conf_high,0.1,0.8177062451839447,0.006037554673268414,10
