dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,baseline,,0.8128772377967834
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,high,0.01,0.8148893117904663
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,high,0.05,0.8128772377967834
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,high,0.1,0.8088530898094177
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,high,0.2,0.7967807054519653
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,high,0.3,0.7927565574645996
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,low,0.01,0.8128772377967834
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,low,0.05,0.8128772377967834
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,low,0.1,0.8108651638031006
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,low,0.2,0.8068410754203796
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,low,0.3,0.8068410754203796
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_high,0.01,0.8088530898094177
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_high,0.05,0.8028169274330139
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_high,0.1,0.7987927794456482
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_high,0.2,0.7967807054519653
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_high,0.3,0.7927565574645996
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_low,0.01,0.8128772377967834
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_low,0.05,0.8128772377967834
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_low,0.1,0.8128772377967834
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_low,0.2,0.8108651638031006
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_low,0.3,0.8068410754203796
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_matched_high,0.01,0.8128772377967834
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_matched_high,0.05,0.8028169274330139
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_matched_high,0.1,0.8028169274330139
cora,GeneralSheaf,5,3,true,avg_z,masking,zero,acc,0,deg_matched_high,0.2,0.8068410754203796
