dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,baseline,,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,high,0.01,0.8081081092357636,0.02490302345761108,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,high,0.05,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,high,0.1,0.8135135114192963,0.02243405927125561,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,high,0.2,0.8108108103275299,0.024173705451413886,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,high,0.3,0.8162162125110626,0.02471162877100273,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,low,0.05,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,low,0.1,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,low,0.2,0.8135135114192963,0.025194637470490742,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,low,0.3,0.8135135114192963,0.025194637470490742,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_high,0.01,0.8054054081439972,0.02349952832831214,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_high,0.05,0.8027027070522308,0.02478541726945345,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_high,0.1,0.8054054081439972,0.025005475316142323,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_high,0.2,0.8108108043670654,0.02535359756835443,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_high,0.3,0.8189189195632934,0.02507839969065799,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_low,0.05,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_low,0.1,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_low,0.2,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_low,0.3,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_matched_high,0.01,0.808108103275299,0.025767969068462293,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_matched_high,0.05,0.808108103275299,0.025767969068462293,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_matched_high,0.1,0.8135135054588318,0.027681268017031586,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_matched_high,0.2,0.808108103275299,0.02548291669982774,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_matched_high,0.3,0.8162162125110626,0.025866993916302646,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_matched_low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_matched_low,0.05,0.8135135114192963,0.025194637470490742,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_matched_low,0.1,0.8135135114192963,0.025194637470490742,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_matched_low,0.2,0.8135135114192963,0.02339048111419532,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,deg_matched_low,0.3,0.8216216146945954,0.025122051732030845,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,conf_high,0.01,0.8135135114192963,0.0243093027074173,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,conf_high,0.05,0.8135135114192963,0.02243405927125561,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,conf_high,0.1,0.8081081092357636,0.022106058794979292,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,conf_high,0.2,0.8108108103275299,0.023561614174032672,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,conf_high,0.3,0.8162162125110626,0.025295908789768708,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,conf_low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,conf_low,0.05,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,conf_low,0.1,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,conf_low,0.2,0.8108108103275299,0.023869621883658886,10
cornell,GeneralSheaf,2,2,true,avg_z,masking,zero,acc,conf_low,0.3,0.8108108103275299,0.023869621883658886,10
