dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,baseline,,0.954587248809467,0.001966077003635858,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,high,0.01,0.9502975436645196,0.0021843984871183085,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,high,0.05,0.9307457961394313,0.002897559492421915,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,high,0.1,0.9125546982734549,0.003494042915359656,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,high,0.2,0.8885885307002249,0.0049384785665697204,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,high,0.3,0.8656420933899829,0.005311241898845454,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,low,0.01,0.954517698396572,0.0019582291675085558,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,low,0.05,0.9539172091672377,0.001928495803589132,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,low,0.1,0.9533458379188738,0.001951936596656937,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,low,0.2,0.9527178011393744,0.00209337436536806,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,low,0.3,0.9508568332814461,0.0020961468401816266,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_high,0.01,0.9537028095686795,0.0019484463558563335,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_high,0.05,0.9504346618229779,0.0019784006502211126,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_high,0.1,0.946585370995462,0.0018908284999279896,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_high,0.2,0.9370042774054758,0.002182770685100776,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_high,0.3,0.9264062243904114,0.0019433218545512607,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_low,0.01,0.9540964115721499,0.0019922759949553195,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_low,0.05,0.9512923330506181,0.00203179382835591,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_low,0.1,0.9470677489014155,0.001989319031933238,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_low,0.2,0.93852723549043,0.002170359421579107,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_low,0.3,0.9272016560987646,0.002311280727291745,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_matched_high,0.01,0.9537356539736473,0.0019254131757371065,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_matched_high,0.05,0.9515867616474767,0.0021010880304964978,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_matched_high,0.1,0.9495937063563588,0.002295115534700755,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_matched_high,0.2,0.9443636652287284,0.0018457251067039255,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_matched_high,0.3,0.9432054924577802,0.001652584234768732,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_matched_low,0.01,0.9537575244956799,0.0020197102854682247,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_matched_low,0.05,0.9506151610076596,0.0020363758411774168,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_matched_low,0.1,0.944260237185788,0.0017752562853065414,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_matched_low,0.2,0.9333539271252473,0.0028543718061394183,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,deg_matched_low,0.3,0.911861191371317,0.002845726092340375,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conf_high,0.01,0.9544778406132626,0.0019863289472012657,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conf_high,0.05,0.953620818202755,0.0020347549664114267,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conf_high,0.1,0.9507364829531738,0.0022332526926673365,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conf_high,0.2,0.9410580767631231,0.002468733924174408,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conf_high,0.3,0.9312919791516162,0.002791384285632386,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conf_low,0.01,0.9538725800409382,0.0020343099479530604,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conf_low,0.05,0.950993224470586,0.0022396086637775105,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conf_low,0.1,0.9474808841950614,0.0023982504683143432,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conf_low,0.2,0.939601491716773,0.0028475818407854253,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,conf_low,0.3,0.9294923002684026,0.0028837879166959276,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,random,0.01,0.9537389169229069,0.001978592700171939,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,random,0.05,0.95049937889963,0.002385956953798048,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,random,0.1,0.9471452884912293,0.0019550612352825596,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,random,0.2,0.9366567793384319,0.0021436638192364483,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,random,0.3,0.9263292458937556,0.0027681878847745094,10
