dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,baseline,,0.9506310919890345
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,high,0.01,0.9435285308153112
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,high,0.05,0.9199982231698649
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,high,0.1,0.9049617981520967
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,high,0.2,0.8752284495887906
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,high,0.3,0.8562211265103057
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,low,0.01,0.9507215199512641
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,low,0.05,0.9506628210985888
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,low,0.1,0.9508468499340035
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,low,0.2,0.949775992486547
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,low,0.3,0.9492841912884556
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_high,0.01,0.949449182658138
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_high,0.05,0.9463381434663417
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_high,0.1,0.9443249314651234
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_high,0.2,0.9368051325007615
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_high,0.3,0.9284000913798356
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_low,0.01,0.9495919636511322
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_low,0.05,0.9465951492537314
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_low,0.1,0.9427448218093207
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_low,0.2,0.9383297162148442
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_low,0.3,0.9278416590516803
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_matched_high,0.01,0.9481371839780688
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_matched_high,0.05,0.9474153467357092
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_matched_high,0.1,0.9434428622195147
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_matched_high,0.2,0.9430732180932074
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,mean,auc,0,deg_matched_high,0.3,0.9409505406640268
