dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,baseline,,0.9545874823044531,0.0019659154901786836,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,high,0.01,0.9504773527327319,0.002196001753169985,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,high,0.05,0.932838264689378,0.0030394778933410397,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,high,0.1,0.9171519528401845,0.003609714244638925,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,high,0.2,0.8949591480500194,0.004930904300038026,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,high,0.3,0.8729548497961348,0.005193191632923524,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,low,0.01,0.954594527343751,0.0019640167828462304,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,low,0.05,0.9545921824886421,0.0019646792994265946,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,low,0.1,0.9545948412464803,0.0019286412786466978,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,low,0.2,0.9544383981318634,0.0020976054553610893,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,low,0.3,0.9529390826440707,0.0021105309541100737,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,deg_high,0.01,0.95397123328603,0.0019123166465854142,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,deg_high,0.05,0.9515499591982192,0.0018996923595187077,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,deg_high,0.1,0.9479587646707257,0.001896351598930912,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,deg_high,0.2,0.9397457161068118,0.001967307353669656,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,deg_high,0.3,0.9304119748247747,0.001798441639576965,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,deg_low,0.01,0.9541368877473234,0.0019991612542010506,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,deg_low,0.05,0.9517898887923651,0.0020479330464760457,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,deg_low,0.1,0.9484288992058134,0.002050074923711712,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,deg_low,0.2,0.9410346112847077,0.0020541187855137345,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,deg_low,0.3,0.9309110858605522,0.0021079650811137375,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,deg_matched_high,0.01,0.9537475720841426,0.0019429722504008139,10
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,deg_matched_high,0.05,0.9521129057202599,0.002040834205809304,10
