dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,baseline,,0.9506326784445122
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,high,0.01,0.943574538024165
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,high,0.05,0.9206550157376384
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,high,0.1,0.9072113920194944
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,high,0.2,0.8790708447558129
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,high,0.3,0.8596573890750331
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,low,0.01,0.9507135876738756
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,low,0.05,0.9507738729820286
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,low,0.1,0.9511339983754695
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,low,0.2,0.9503201467154025
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,low,0.3,0.9494936034115139
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_high,0.01,0.949631625038075
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_high,0.05,0.9477278784648188
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_high,0.1,0.945920905675703
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_high,0.2,0.9391197710427454
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_high,0.3,0.9317681363590211
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_low,0.01,0.9497109478119606
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_low,0.05,0.9469489288252615
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_low,0.1,0.9441567671844857
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_low,0.2,0.939056312823637
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_low,0.3,0.9312144633972992
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_matched_high,0.01,0.9490462229667985
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_matched_high,0.05,0.9480705528480049
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_matched_high,0.1,0.9458082673367855
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_matched_high,0.2,0.9446438090161439
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_matched_high,0.3,0.9437649126814904
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_matched_low,0.01,0.949227078891258
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_matched_low,0.05,0.9467379302467256
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_matched_low,0.1,0.9432080668088131
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_matched_low,0.2,0.9295344070464008
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,deg_matched_low,0.3,0.9166682531221443
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conf_high,0.01,0.9502043354655295
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conf_high,0.05,0.9495047085998579
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conf_high,0.1,0.9470552213422682
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conf_high,0.2,0.9368939740075135
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conf_high,0.3,0.9260981444816733
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conf_low,0.01,0.9502551020408162
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conf_low,0.05,0.9486686465631028
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conf_low,0.1,0.9461604604528377
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conf_low,0.2,0.9403143720174637
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,conf_low,0.3,0.933353005381257
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,random,0.01,0.9505359046603715
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,random,0.05,0.9478896969235455
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,random,0.1,0.9442678190679258
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,random,0.2,0.9320838409990863
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,0,random,0.3,0.9262155421870241
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,baseline,,0.9601665053723417
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,high,0.01,0.9563125015509071
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,high,0.05,0.9417525869128265
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,high,0.1,0.92810770738728
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,high,0.2,0.9059700612918434
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,high,0.3,0.8808407156505125
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,low,0.01,0.9601447926747562
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,low,0.05,0.960140139953845
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,low,0.1,0.960057941884414
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,low,0.2,0.9602176853023648
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,low,0.3,0.9591925357949329
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,deg_high,0.01,0.9598237549318842
minesweeper,GeneralSheaf,5,6,true,avg_z,masking,zero,auc,1,deg_high,0.05,0.9568708280602496
