dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,baseline,,0.8907707870006562,0.0013188493490263614,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,high,0.01,0.8903397560119629,0.0013053493024658114,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,high,0.05,0.8898326456546783,0.001471570763677129,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,high,0.1,0.8892241358757019,0.0016260628110466792,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,high,0.2,0.8886409759521484,0.001548024108201801,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,high,0.3,0.8872718036174774,0.0017897078545773546,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,low,0.01,0.890593308210373,0.0013669343805136074,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,low,0.05,0.890593296289444,0.0013053506338795537,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,low,0.1,0.8907200813293457,0.001341180225560716,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,low,0.2,0.8905426025390625,0.0012768693957161239,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,low,0.3,0.8909482777118682,0.0012710143361510592,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_high,0.01,0.890593308210373,0.0014154599210772258,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_high,0.05,0.890314394235611,0.001414528407368804,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_high,0.1,0.8899087250232697,0.0013372426678419755,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_high,0.2,0.8889959394931793,0.001410243325593129,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_high,0.3,0.8876774787902832,0.00166495744870515,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_low,0.01,0.890846848487854,0.0013287819254973188,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_low,0.05,0.8910496890544891,0.0013315872019367288,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_low,0.1,0.8909989774227143,0.001408721302369221,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_low,0.2,0.891125762462616,0.0014940936557126386,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_low,0.3,0.8911004066467285,0.0016244001446729269,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_matched_high,0.01,0.8909229159355163,0.0013802960960179302,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_matched_high,0.05,0.8910243391990662,0.0014211446357735033,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_matched_high,0.1,0.8914300322532653,0.0014839934931392775,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_matched_high,0.2,0.8911003947257996,0.0014077145276568052,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_matched_high,0.3,0.8913032412528992,0.0012652370607810705,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_matched_low,0.01,0.8907200753688812,0.0012933519385303189,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_matched_low,0.05,0.8906440138816833,0.0014293807474298652,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_matched_low,0.1,0.8905425906181336,0.0016143978661991457,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_matched_low,0.2,0.8908722043037415,0.0015531666615506174,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,deg_matched_low,0.3,0.8905425846576691,0.0017323376575316364,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,conf_high,0.01,0.8906693696975708,0.0013525390737139055,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,conf_high,0.05,0.8905933022499084,0.0013263574445274665,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,mean,acc,conf_high,0.1,0.8905679523944855,0.0014181590805898026,10
