dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,baseline,,0.8907707870006562,0.0013188493490263614,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,high,0.01,0.8903397619724274,0.0013253889530972186,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,high,0.05,0.890010142326355,0.0014006411012696565,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,high,0.1,0.8894523322582245,0.0016664988701769056,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,high,0.2,0.8888184607028962,0.001771672998921296,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,high,0.3,0.8872971594333648,0.0017574696072334146,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,low,0.01,0.8906693696975708,0.0013290457819333842,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,low,0.05,0.8906440079212189,0.0013022936096345513,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,low,0.1,0.8908468544483185,0.0013470407362581231,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,low,0.2,0.8907707810401917,0.0013232305927591507,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,low,0.3,0.8909989774227143,0.0012293617306182636,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_high,0.01,0.8907707929611206,0.001327594691379854,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_high,0.05,0.8905172228813172,0.0014279149516062564,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_high,0.1,0.8906440138816833,0.001414457536734494,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_high,0.2,0.8892748475074768,0.0013799495625514792,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_high,0.3,0.8881845831871032,0.001490132421981324,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_low,0.01,0.890846848487854,0.0013287819254973188,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_low,0.05,0.8909736275672913,0.00133685986636953,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_low,0.1,0.8909989833831787,0.0013926534389454134,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_low,0.2,0.8911764740943908,0.00145952875826671,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_low,0.3,0.891379302740097,0.0015741339985569744,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_matched_high,0.01,0.8910750448703766,0.001350352860816342,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_matched_high,0.05,0.8912018239498138,0.0014023151981742592,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_matched_high,0.1,0.8911764681339264,0.0014426924504948324,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_matched_high,0.2,0.8908975541591644,0.0013822768441965427,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_matched_high,0.3,0.8910243272781372,0.0011777378793414977,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_matched_low,0.01,0.8907454311847687,0.0012895935236379016,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_matched_low,0.05,0.8907200872898102,0.0013892143550201107,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_matched_low,0.1,0.890542596578598,0.0015870879456796041,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_matched_low,0.2,0.8910496830940247,0.001578152519084231,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,deg_matched_low,0.3,0.890593308210373,0.001670832232029372,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,conf_high,0.01,0.8906440138816833,0.0013435972278536628,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,conf_high,0.05,0.8905172348022461,0.0012982122933807253,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,conf_high,0.1,0.8907961428165436,0.0014016734971647586,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,conf_high,0.2,0.890542596578598,0.001323836203529674,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,conf_high,0.3,0.8896044611930847,0.0014149785081429347,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,conf_low,0.01,0.8907200813293457,0.0013402188935966344,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,conf_low,0.05,0.8905679404735565,0.0014113377682988665,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,conf_low,0.1,0.8904665291309357,0.0013002898407584852,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,conf_low,0.2,0.8909482657909393,0.0012526727996914845,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,conf_low,0.3,0.8907961428165436,0.0012616756785757122,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,random,0.01,0.8908215045928956,0.0013407983904675034,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,random,0.05,0.8903904616832733,0.0013611843516796627,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,random,0.1,0.8909482657909393,0.0015185285500123127,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,random,0.2,0.8911764681339264,0.0014878835144161665,10
pubmed,GeneralSheaf,3,4,true,avg_z,masking,zero,acc,random,0.3,0.8902383387088776,0.0015623485612579083,10
