dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,baseline,,0.7666904058793513,0.004547715685745578,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,high,0.01,0.7642696180407242,0.00426365515056647,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,high,0.05,0.7611004504639709,0.004072497638660262,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,high,0.1,0.7590778302921435,0.0037658249393927768,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,high,0.2,0.7575345929084827,0.003981885780210937,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,high,0.3,0.7574839820922677,0.003914896644972078,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,low,0.01,0.7664320182679188,0.0045216773852462255,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,low,0.05,0.7660461800609084,0.004558641309334889,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,low,0.1,0.7656833268299665,0.0045356717721913575,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,low,0.2,0.7649542493921853,0.004427576261676772,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,low,0.3,0.7643011112676024,0.004418313250523249,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,deg_high,0.01,0.7648976816459598,0.004345419920131003,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,deg_high,0.05,0.7619497863124524,0.004172538903452236,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,deg_high,0.1,0.7608043818068893,0.004115709759653829,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,deg_high,0.2,0.7598968389019853,0.003893705969017273,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,deg_high,0.3,0.7591347674603852,0.0038636921144903805,10
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,deg_low,0.01,0.7666013867178931,0.004549381313591631,10
