dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,baseline,,0.7659956269668835
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,high,0.01,0.7672521235993711
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,high,0.05,0.7640064048542052
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,high,0.1,0.7623375408961717
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,high,0.2,0.7589656414436089
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,high,0.3,0.7587137418063351
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,low,0.01,0.7657972935219541
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,low,0.05,0.7654408012763531
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,low,0.1,0.7656212408423746
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,low,0.2,0.7648616168216315
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,low,0.3,0.7646220697330233
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_high,0.01,0.7689032091228767
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_high,0.05,0.765746382550351
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_high,0.1,0.764426160620075
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_high,0.2,0.7637586612146134
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_high,0.3,0.7622106675224944
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_low,0.01,0.7656745761459587
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_low,0.05,0.765750653992413
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_low,0.1,0.7656958179118882
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_low,0.2,0.7652837969194822
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_low,0.3,0.764831832171578
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_matched_high,0.01,0.7671100115675269
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_matched_high,0.05,0.7663865216377401
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_matched_high,0.1,0.7644228127330533
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_matched_high,0.2,0.7652348485023401
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_matched_high,0.3,0.7632878790327606
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_matched_low,0.01,0.7659011934640011
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_matched_low,0.05,0.7654427638308139
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_matched_low,0.1,0.7652032167422058
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_matched_low,0.2,0.7642263263982046
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,deg_matched_low,0.3,0.7631970243056597
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conf_high,0.01,0.7660584287096319
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conf_high,0.05,0.7639705016520091
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conf_high,0.1,0.762012680410705
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conf_high,0.2,0.7609787605429579
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conf_high,0.3,0.7594572036138709
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conf_low,0.01,0.7658385071656326
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conf_low,0.05,0.7657505385480329
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conf_low,0.1,0.7666788268080322
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conf_low,0.2,0.7641504794405103
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,conf_low,0.3,0.7639275563426298
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,random,0.01,0.7659793493092963
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,random,0.05,0.7660214865080154
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,random,0.1,0.7661213458967604
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,random,0.2,0.7637472322209882
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,0,random,0.3,0.762371712432667
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,baseline,,0.7648085124068076
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,high,0.01,0.7619449145596144
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,high,0.05,0.7594822550443423
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,high,0.1,0.7578326702977772
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,high,0.2,0.7570267530806333
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,high,0.3,0.7572390552955491
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,low,0.01,0.7646795610342892
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,low,0.05,0.7639246702331285
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,low,0.1,0.7630006534151911
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,low,0.2,0.7624813845937166
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,low,0.3,0.7622571916076553
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_high,0.01,0.7610288634039006
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_high,0.05,0.7579821707699447
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_high,0.1,0.7568228783054612
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_high,0.2,0.7565702860019072
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_high,0.3,0.7552759236127626
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_low,0.01,0.7649857195301875
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_low,0.05,0.7649304216721426
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_low,0.1,0.7645249810093995
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_low,0.2,0.763974773094071
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_low,0.3,0.7640573158258083
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_matched_high,0.01,0.7636045429672438
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_matched_high,0.05,0.7638896905859726
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_matched_high,0.1,0.7632053363010235
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_matched_high,0.2,0.7634804402586878
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_matched_high,0.3,0.7626075653011135
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_matched_low,0.01,0.7647839227538564
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_matched_low,0.05,0.7644674897081335
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_matched_low,0.1,0.765360913765357
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_matched_low,0.2,0.7621689921012954
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,deg_matched_low,0.3,0.7634781313710868
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conf_high,0.01,0.761722799572394
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conf_high,0.05,0.7619013920283346
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conf_high,0.1,0.7607665737724221
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conf_high,0.2,0.759462052277833
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conf_high,0.3,0.7590217474123142
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conf_low,0.01,0.7650029207428153
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conf_low,0.05,0.7647607184334659
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conf_low,0.1,0.76310894024368
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conf_low,0.2,0.7626062954129331
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,conf_low,0.3,0.762398380084459
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,random,0.01,0.7645132056826343
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,random,0.05,0.7651183651228675
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,random,0.1,0.7632392769487589
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,random,0.2,0.7624515999436631
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,1,random,0.3,0.7594388479574425
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,baseline,,0.7653572195451953
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,high,0.01,0.7609226545742527
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,high,0.05,0.7595571784469959
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,high,0.1,0.7565078305922989
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,high,0.2,0.754282293833654
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,high,0.3,0.7543417476893808
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,low,0.01,0.7650105400718987
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,low,0.05,0.7650361687242704
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,low,0.1,0.7648935949149059
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,low,0.2,0.7645057017979308
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,low,0.3,0.7644693368182143
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_high,0.01,0.7608410353975559
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_high,0.05,0.7580763733840673
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_high,0.1,0.757690327377173
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_high,0.2,0.7577285394669702
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_high,0.3,0.7577949199855002
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_low,0.01,0.7654223301755447
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_low,0.05,0.7653759215347639
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_low,0.1,0.764677021257928
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_low,0.2,0.7643607036565854
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_low,0.3,0.763999131858262
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_matched_high,0.01,0.763833007395367
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_matched_high,0.05,0.7639887418640573
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_matched_high,0.1,0.7631704720982477
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_matched_high,0.2,0.7656205481760943
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_matched_high,0.3,0.7645092805737123
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_matched_low,0.01,0.7655022176865408
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_matched_low,0.05,0.7650569487126798
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_matched_low,0.1,0.7646864876970925
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_matched_low,0.2,0.7645829340881857
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,deg_matched_low,0.3,0.7649898755278695
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conf_high,0.01,0.7656570286001907
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conf_high,0.05,0.7653085020168133
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conf_high,0.1,0.7631737045408893
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conf_high,0.2,0.7622169015190171
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conf_high,0.3,0.7626719832651827
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conf_low,0.01,0.7645187470128767
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conf_low,0.05,0.7607866610945514
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conf_low,0.1,0.7571868744357657
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conf_low,0.2,0.7567452996820662
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,conf_low,0.3,0.7556051709846713
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,random,0.01,0.7653043460191314
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,random,0.05,0.7653027297978108
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,random,0.1,0.7650695321501053
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,random,0.2,0.7625946355305477
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,2,random,0.3,0.7617783283191991
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,baseline,,0.7610461800609085
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,high,0.01,0.7578688043887336
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,high,0.05,0.7555511430148069
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,high,0.1,0.75183787453043
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,high,0.2,0.7496829897323769
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,high,0.3,0.7503600710213827
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,low,0.01,0.7612389721755956
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,low,0.05,0.7609704485475943
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,low,0.1,0.7603878007614712
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,low,0.2,0.7604487553941387
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,low,0.3,0.7604023467533576
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,deg_high,0.01,0.7584449872895738
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,deg_high,0.05,0.7569141948100825
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,deg_high,0.1,0.7567335243553008
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,deg_high,0.2,0.7572736886095648
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,deg_high,0.3,0.7573113234774618
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,deg_low,0.01,0.7610646511617168
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,deg_low,0.05,0.760834916845413
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,deg_low,0.1,0.7601644158860703
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,deg_low,0.2,0.7591005959238898
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,deg_low,0.3,0.7589307772408331
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,deg_matched_high,0.01,0.762176611430379
questions,GeneralSheaf,5,4,true,avg_z,masking,mean,auc,3,deg_matched_high,0.05,0.7599720855489034
