dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,baseline,,0.7666904982348555,0.0045476905718351964,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,high,0.01,0.7638459256214947,0.004306608009731225,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,high,0.05,0.760710964214551,0.004089523642880724,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,high,0.1,0.7586975795931278,0.0037999310458915235,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,high,0.2,0.7573334887984318,0.00397505365567039,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,high,0.3,0.757526430990813,0.0039098675905039305,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,low,0.01,0.7665351909103713,0.004501811076436591,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,low,0.05,0.7662298636140095,0.004533408910312828,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,low,0.1,0.7662116811241513,0.004430043469532616,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,low,0.2,0.7659211191639981,0.004331576561107712,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,low,0.3,0.765307936339351,0.0042871325986112135,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_high,0.01,0.7645426439995475,0.004409108654760687,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_high,0.05,0.7622171785855294,0.004069848146996173,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_high,0.1,0.7616214971288982,0.0038275014743265425,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_high,0.2,0.7612472841709591,0.0036352406472963143,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_high,0.3,0.7608619192859072,0.0036117643187230535,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_low,0.01,0.7666236097610534,0.004571505181380207,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_low,0.05,0.7664422350955534,0.004657464758929624,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_low,0.1,0.7661517885797802,0.00467090605368462,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_low,0.2,0.7655462366286547,0.004809785371319984,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_low,0.3,0.7651786386336926,0.004608421889460894,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_matched_high,0.01,0.766592047267547,0.004495615136119206,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_matched_high,0.05,0.7663481594702489,0.004509944016450595,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_matched_high,0.1,0.7662018452629706,0.004415645354890973,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_matched_high,0.2,0.7659359999445867,0.004358526128645738,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_matched_high,0.3,0.7652082039394239,0.0042913422113513705,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_matched_low,0.01,0.7665972884424014,0.004532143911844584,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_matched_low,0.05,0.7664402494522163,0.004661280357954186,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_matched_low,0.1,0.7660619613076616,0.004403358090772411,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_matched_low,0.2,0.7652123599371059,0.004258555805635309,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,deg_matched_low,0.3,0.7654466196731077,0.004543128550419046,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conf_high,0.01,0.7659941608232569,0.004521764994863238,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conf_high,0.05,0.765002331976477,0.004511825939545416,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conf_high,0.1,0.7635885077428547,0.004465526453490404,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conf_high,0.2,0.7627605175602448,0.004563881768626983,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conf_high,0.3,0.7627642233248444,0.004498810580280466,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conf_low,0.01,0.766144769561473,0.004420431471082938,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conf_low,0.05,0.765002101087717,0.0040662947806644955,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conf_low,0.1,0.7640706611961423,0.0038222878826579265,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conf_low,0.2,0.7619923968331297,0.003843829309688501,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,conf_low,0.3,0.7609075198160279,0.003627161775469816,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,random,0.01,0.7664817978845971,0.004511896926272257,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,random,0.05,0.7661877956819184,0.004534964151222791,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,random,0.1,0.7664328032897031,0.00428863907097494,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,random,0.2,0.7649833067426445,0.0042438549738109035,10
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,random,0.3,0.762869820299278,0.004265341288910159,10
