dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,baseline,,0.7659953960781235
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,high,0.01,0.7667228111168319
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,high,0.05,0.7632341973960366
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,high,0.1,0.7614451558383686
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,high,0.2,0.7580275404113052
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,high,0.3,0.7576426488482113
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,low,0.01,0.7658177271772233
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,low,0.05,0.7659735770902937
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,low,0.1,0.7663853671939397
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,low,0.2,0.7660877515821652
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,low,0.3,0.7656604919315922
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_high,0.01,0.768502963457236
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_high,0.05,0.7647102692393832
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_high,0.1,0.7629878390890052
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_high,0.2,0.7629081824667694
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_high,0.3,0.7613665382155532
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_low,0.01,0.7656891221378452
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_low,0.05,0.7658019112971561
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_low,0.1,0.7659253213394319
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_low,0.2,0.7655231131193304
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_low,0.3,0.765460542265342
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_matched_high,0.01,0.7667291605577349
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_matched_high,0.05,0.7663808648631176
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_matched_high,0.1,0.7643777894248329
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_matched_high,0.2,0.7652635941529731
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_matched_high,0.3,0.7637336097841421
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_matched_low,0.01,0.7658920733579769
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_matched_low,0.05,0.765560401654087
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_matched_low,0.1,0.7654002802989548
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_matched_low,0.2,0.7645143601264348
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,deg_matched_low,0.3,0.7628246007356116
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conf_high,0.01,0.7660527719350094
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conf_high,0.05,0.7640992221357672
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conf_high,0.1,0.7621314726777786
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conf_high,0.2,0.7613383697868206
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conf_high,0.3,0.7600564753907215
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conf_low,0.01,0.7657852873064287
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conf_low,0.05,0.7655991909657847
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conf_low,0.1,0.7671223641161924
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conf_low,0.2,0.7637630481010553
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,conf_low,0.3,0.7637916783073084
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,random,0.01,0.7657817085306471
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,random,0.05,0.7660121355132311
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,random,0.1,0.7662250149500472
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,random,0.2,0.7637786330923625
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,0,random,0.3,0.7632757573728554
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,baseline,,0.7648092050730878
questions,GeneralSheaf,5,4,true,avg_z,masking,zero,auc,1,high,0.01,0.759557293891376
