dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,baseline,,0.8709463953971863,0.0021164231955113242,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,high,0.01,0.8675270199775695,0.002058902077183268,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,high,0.05,0.8561658918857574,0.002841779017565746,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,high,0.1,0.8417604267597198,0.0029337995445832144,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,high,0.2,0.8111625850200653,0.0034158798708795535,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,high,0.3,0.7876682102680206,0.0033638015178529207,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,low,0.01,0.8710125684738159,0.0021288151928521393,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,low,0.05,0.8700419247150422,0.0019845702535229246,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,low,0.1,0.86812264919281,0.002116838520064962,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,low,0.2,0.8623207569122314,0.0017335231090753937,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,low,0.3,0.8535186409950256,0.0019528167768689446,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_high,0.01,0.86450474858284,0.002001258478366292,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_high,0.05,0.846790200471878,0.0021377586886989525,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_high,0.1,0.8309728682041169,0.0021964913798803946,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_high,0.2,0.8079858899116517,0.002447259718604775,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_high,0.3,0.7936024785041809,0.0022551771768182295,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_low,0.01,0.8699316143989563,0.002160615315052233,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_low,0.05,0.8658945560455322,0.0020948014889864094,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_low,0.1,0.8607324123382568,0.0018462514530586303,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_low,0.2,0.8488197684288025,0.001820499689438805,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_low,0.3,0.8378336608409882,0.00191949592336211,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_high,0.01,0.8687844634056091,0.0020995200393859447,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_high,0.05,0.8611736238002777,0.0019969394319420256,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_high,0.1,0.8544451892375946,0.0017606409077174528,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_high,0.2,0.8421575009822846,0.00222170688436817,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_high,0.3,0.8317449808120727,0.002326945305621093,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_low,0.01,0.8695786476135254,0.0021305866034342672,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_low,0.05,0.8646812319755555,0.0019471286158171124,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_low,0.1,0.8581734001636505,0.0020589528662558177,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_low,0.2,0.8398632228374481,0.001845563653080906,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,deg_matched_low,0.3,0.8187293231487274,0.001853612597316493,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_high,0.01,0.8696889460086823,0.0021141361432180936,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_high,0.05,0.8628943204879761,0.0024698351663416233,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_high,0.1,0.8552614092826843,0.002844761376513722,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_high,0.2,0.8404367923736572,0.0026741487402983798,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_high,0.3,0.8222810506820679,0.0024919899674445004,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_low,0.01,0.8702845752239228,0.002151091426673748,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_low,0.05,0.8641076445579529,0.0022708343633679514,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_low,0.1,0.8556364476680756,0.0019603278842888826,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_low,0.2,0.8365320920944214,0.0018295522949613435,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,conf_low,0.3,0.8165453374385834,0.0017241603355437744,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,random,0.01,0.86931391954422,0.0020377471512055046,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,random,0.05,0.8626737296581268,0.0019947957001704595,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,random,0.1,0.8545334219932557,0.001998191936545819,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,random,0.2,0.8390249133110046,0.0014988283557928145,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,random,0.3,0.8215309858322144,0.002317292152299466,10
