dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,baseline,,0.859695553779602
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,high,0.01,0.8559452891349792
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,high,0.05,0.8358702659606934
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,high,0.1,0.8199867606163025
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,high,0.2,0.7866755127906799
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,high,0.3,0.7628502249717712
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,low,0.01,0.860357403755188
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,low,0.05,0.8605780005455017
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,low,0.1,0.8581513166427612
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,low,0.2,0.8559452891349792
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,low,0.3,0.8508713841438293
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_high,0.01,0.8552834987640381
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_high,0.05,0.8354290723800659
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_high,0.1,0.8193249702453613
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_high,0.2,0.7970439195632935
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_high,0.3,0.783807635307312
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_low,0.01,0.8592543601989746
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_low,0.05,0.8557246923446655
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_low,0.1,0.8528568148612976
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_low,0.2,0.8442532420158386
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_low,0.3,0.8338848352432251
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_matched_high,0.01,0.8568277359008789
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_matched_high,0.05,0.8491065502166748
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_matched_high,0.1,0.8466799259185791
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_matched_high,0.2,0.8352084755897522
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_matched_high,0.3,0.8257224559783936
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_matched_low,0.01,0.8572689294815063
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_matched_low,0.05,0.853959858417511
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_matched_low,0.1,0.8508713841438293
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_matched_low,0.2,0.8321200013160706
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,deg_matched_low,0.3,0.8105008006095886
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conf_high,0.01,0.8579307198524475
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conf_high,0.05,0.8464592695236206
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conf_high,0.1,0.8387381434440613
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conf_high,0.2,0.825943112373352
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conf_high,0.3,0.8080741167068481
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conf_low,0.01,0.858371913433075
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conf_low,0.05,0.853298008441925
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conf_low,0.1,0.8469005227088928
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conf_low,0.2,0.8301345705986023
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,conf_low,0.3,0.8107213973999023
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,random,0.01,0.8579307198524475
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,random,0.05,0.8519744277000427
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,random,0.1,0.8420472145080566
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,random,0.2,0.8360908627510071
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,0,random,0.3,0.8080741167068481
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,baseline,,0.8740348815917969
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,high,0.01,0.8727112412452698
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,high,0.05,0.8658725023269653
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,high,0.1,0.8499889969825745
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,high,0.2,0.816015899181366
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,high,0.3,0.7913081645965576
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,low,0.01,0.8738142251968384
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,low,0.05,0.8709464073181152
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,low,0.1,0.8671961426734924
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,low,0.2,0.8599161505699158
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,low,0.3,0.8466799259185791
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_high,0.01,0.8678579330444336
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_high,0.05,0.8508713841438293
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_high,0.1,0.8332230448722839
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_high,0.2,0.8129274249076843
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_high,0.3,0.7968233227729797
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_low,0.01,0.8735936284065247
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_low,0.05,0.8680785298347473
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_low,0.1,0.8616809844970703
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_low,0.2,0.8455768823623657
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_low,0.3,0.8327818512916565
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_matched_high,0.01,0.8720493912696838
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_matched_high,0.05,0.8649900555610657
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_matched_high,0.1,0.8570483326911926
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_matched_high,0.2,0.8427090048789978
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_matched_high,0.3,0.8274872899055481
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_matched_low,0.01,0.8727112412452698
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_matched_low,0.05,0.8674167394638062
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_matched_low,0.1,0.8610191941261292
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_matched_low,0.2,0.8382969498634338
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,deg_matched_low,0.3,0.819545567035675
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,conf_high,0.01,0.8720493912696838
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,conf_high,0.05,0.8592543601989746
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,conf_high,0.1,0.8499889969825745
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,conf_high,0.2,0.8338848352432251
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,conf_high,0.3,0.8157953023910522
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,conf_low,0.01,0.8744760751724243
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,conf_low,0.05,0.8658725023269653
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,conf_low,0.1,0.8550629019737244
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,mean,acc,1,conf_low,0.2,0.8318994045257568
