dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,baseline,,0.8709463953971863,0.0021164231955113242,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,high,0.01,0.8658063054084778,0.002073928066049562,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,high,0.05,0.8485329747200012,0.002315441298221186,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,high,0.1,0.8294727504253387,0.0021032732823958707,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,high,0.2,0.7962497234344482,0.0030402131231622703,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,high,0.3,0.7727112233638763,0.002822712949822001,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,low,0.01,0.8708140313625335,0.0021599439107615956,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,low,0.05,0.8702625155448913,0.0021165248164060225,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,low,0.1,0.8690712511539459,0.002179691355225041,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,low,0.2,0.8648356556892395,0.0017398571375731363,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,low,0.3,0.8597838044166565,0.0018009206639175257,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_high,0.01,0.8677034974098206,0.001977592832443157,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_high,0.05,0.8590558171272278,0.0022854576604424714,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_high,0.1,0.8493712782859802,0.0019249058161519537,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_high,0.2,0.829605120420456,0.0016763610978588197,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_high,0.3,0.8122876703739166,0.0018214114559074483,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_low,0.01,0.8697551250457763,0.0021185391723173613,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_low,0.05,0.8654312789440155,0.002072978622435192,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_low,0.1,0.8598499894142151,0.0019297660284030614,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_low,0.2,0.8473417103290558,0.0017305825179666232,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_low,0.3,0.8346790194511413,0.0018436515870831724,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_matched_high,0.01,0.8692477345466614,0.002053649624736088,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_matched_high,0.05,0.8634237766265869,0.0020181291075392536,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_matched_high,0.1,0.8573792159557343,0.001846567454909929,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_matched_high,0.2,0.8484668016433716,0.0018795321719403736,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_matched_high,0.3,0.8419589757919311,0.0020389410199834765,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_matched_low,0.01,0.869380098581314,0.0022087895867839505,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_matched_low,0.05,0.8638208687305451,0.0020374682187934917,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_matched_low,0.1,0.8556143879890442,0.0017979592161567104,10
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,deg_matched_low,0.2,0.834414291381836,0.0021157794423807626,10
