dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,baseline,,0.859695553779602
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,high,0.01,0.8566070795059204
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,high,0.05,0.8387381434440613
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,high,0.1,0.821751594543457
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,high,0.2,0.783807635307312
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,high,0.3,0.7571144700050354
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,low,0.01,0.8594749569892883
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,low,0.05,0.859695553779602
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,low,0.1,0.8594749569892883
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,low,0.2,0.8572689294815063
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,low,0.3,0.8510919809341431
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_high,0.01,0.8581513166427612
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_high,0.05,0.8488859534263611
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_high,0.1,0.8405029773712158
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_high,0.2,0.8232958316802979
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_high,0.3,0.8056474924087524
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_low,0.01,0.858371913433075
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_low,0.05,0.8546216487884521
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_low,0.1,0.8504301905632019
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_low,0.2,0.8418266177177429
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_low,0.3,0.8283697366714478
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_matched_high,0.01,0.8579307198524475
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_matched_high,0.05,0.853298008441925
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_matched_high,0.1,0.849768340587616
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_matched_high,0.2,0.8374145030975342
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_matched_high,0.3,0.8323405981063843
roman_empire,GeneralSheaf,5,5,true,avg_z,masking,zero,acc,0,deg_matched_low,0.01,0.8566070795059204
