dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,baseline,,0.8536274262598657,0.0021922804347289737,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,high,0.01,0.8535161958522783,0.002176497694743357,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,high,0.05,0.8529755659126588,0.0020833972539641733,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,high,0.1,0.8523705090977121,0.0020688972162815327,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,high,0.2,0.8507260817343539,0.002033084937448258,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,high,0.3,0.8485310943553788,0.0020647990707138527,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,low,0.01,0.8536946999829189,0.0021766833013845224,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,low,0.05,0.8536832448099256,0.0021607018018980333,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,low,0.1,0.8533270499337091,0.0021647482267203406,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,low,0.2,0.8519379915895984,0.002284150188328122,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,low,0.3,0.8502470657133794,0.00248261450536021,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_high,0.01,0.8536871083889824,0.002346897161495931,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_high,0.05,0.8532936333639707,0.0023468502595636077,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_high,0.1,0.8528080424803907,0.002290496270482045,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_high,0.2,0.8513269360598,0.0021506681723165383,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_high,0.3,0.8491869877368645,0.002202572700556323,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_low,0.01,0.8535550010980698,0.0022056548818963637,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_low,0.05,0.853336946118662,0.002172772655217553,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_low,0.1,0.853178946069859,0.0022197414722722447,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_low,0.2,0.8531353621868127,0.0022798271779521455,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_low,0.3,0.8527529356422624,0.00226056015630337,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_matched_high,0.01,0.8537214061258741,0.002227787584813296,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_matched_high,0.05,0.8533601953750924,0.0022618467546590636,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_matched_high,0.1,0.8527817430299678,0.0022512258483215392,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_matched_high,0.2,0.8512953834975017,0.0024095295628557725,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_matched_high,0.3,0.8499130355801741,0.0026057879533875204,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_matched_low,0.01,0.8535616776338086,0.0022246589480785757,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_matched_low,0.05,0.8532261901856959,0.0022402440646627207,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_matched_low,0.1,0.8528853479525743,0.002219751859181764,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_matched_low,0.2,0.8523057094208969,0.0023008004344354164,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,deg_matched_low,0.3,0.8510419123767383,0.0022796772065073806,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conf_high,0.01,0.8537343186137749,0.002195110220657259,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conf_high,0.05,0.8538035241263568,0.0021503609800088974,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conf_high,0.1,0.8537719715640583,0.002145688429211447,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conf_high,0.2,0.8535880109752757,0.0021731829851808276,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conf_high,0.3,0.8527904530283683,0.0022126301025512333,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conf_low,0.01,0.8535421225012133,0.0021672539570643462,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conf_low,0.05,0.8533025805996817,0.0021353599772094066,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conf_low,0.1,0.8524010788197242,0.0021840674421632024,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conf_low,0.2,0.8506852091348567,0.0022568851131969086,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,conf_low,0.3,0.8481800848089496,0.00220703794393455,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,random,0.01,0.8536128531107913,0.0021706544145981455,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,random,0.05,0.8535452743683386,0.0022136178727860637,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,random,0.1,0.8534662404528929,0.002167109937296244,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,random,0.2,0.8524873993097073,0.002226919023025034,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,random,0.3,0.851645647440955,0.002258046869354886,10
