dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,baseline,,0.848422643013429
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,high,0.01,0.848504998251222
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,high,0.05,0.8481342302259313
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,high,0.1,0.8473855770560341
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,high,0.2,0.8472469626846044
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,high,0.3,0.8450494673683467
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,low,0.01,0.8482257360457013
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,low,0.05,0.848287756656879
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,low,0.1,0.848020356316884
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,low,0.2,0.8473747319218392
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,low,0.3,0.8457194933153304
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_high,0.01,0.8482911457613149
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_high,0.05,0.8489198246341801
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_high,0.1,0.8478769971992439
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_high,0.2,0.8473011883555792
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_high,0.3,0.8458103213142133
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_low,0.01,0.8488117122026739
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_low,0.05,0.8489611717082983
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_low,0.1,0.8484321325058497
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_low,0.2,0.8484002749241519
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_low,0.3,0.846995152225015
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_matched_high,0.01,0.8489357534250289
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_matched_high,0.05,0.8479769757801041
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_matched_high,0.1,0.8470419218662307
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_matched_high,0.2,0.8459750317897998
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_matched_high,0.3,0.8446790382534995
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_matched_low,0.01,0.8483918021630621
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_matched_low,0.05,0.8491479113627183
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_matched_low,0.1,0.8492814420774939
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_matched_low,0.2,0.8487751098747657
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,deg_matched_low,0.3,0.8479213944673548
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conf_high,0.01,0.8484911029230346
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conf_high,0.05,0.8486639472492672
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conf_high,0.1,0.8482914846717586
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conf_high,0.2,0.8475814672924309
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conf_high,0.3,0.8459296177903581
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conf_low,0.01,0.8485514289819942
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conf_low,0.05,0.8484904251021476
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conf_low,0.1,0.8481054228382259
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conf_low,0.2,0.8466816600646913
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,conf_low,0.3,0.8448291755800112
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,random,0.01,0.8483657060589053
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,random,0.05,0.8477824411854815
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,random,0.1,0.8482074348817474
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,random,0.2,0.8482006566728756
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,0,random,0.3,0.8469693950313018
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,baseline,,0.8551049402297543
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,high,0.01,0.8551625550051649
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,high,0.05,0.8567276434336779
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,high,0.1,0.8584099948756742
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,high,0.2,0.857532216826768
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,high,0.3,0.8561047260383539
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,low,0.01,0.8553875915397108
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,low,0.05,0.8556566864319237
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,low,0.1,0.8551578102589547
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,low,0.2,0.8538272478574082
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,low,0.3,0.8521767539971098
tolokers,GeneralSheaf,3,4,true,avg_z,masking,mean,auc,1,deg_high,0.01,0.8563073944836225
