dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,baseline,,0.8536270195673333,0.002192316860494424,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,high,0.01,0.8534122520192284,0.0021868519942603764,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,high,0.05,0.8529789211260503,0.0020797604804355216,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,high,0.1,0.8524770625411776,0.0020611222612163214,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,high,0.2,0.8516593733139206,0.002128300140316836,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,high,0.3,0.8505092468325429,0.0021825092392328965,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,low,0.01,0.8534801357810802,0.00218406371423307,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,low,0.05,0.8533337603604924,0.002199500587264464,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,low,0.1,0.8529653308172623,0.00225641618661501,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,low,0.2,0.8514757177445376,0.002627271276993013,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,low,0.3,0.8498655542270267,0.002927110036680766,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_high,0.01,0.8536373224448187,0.002328648627388891,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_high,0.05,0.8532946839863461,0.002368793635071,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_high,0.1,0.8530099314316392,0.0024129892717619146,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_high,0.2,0.8517910739123009,0.0024829875893520757,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_high,0.3,0.8506879882004938,0.0025581615832232347,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_low,0.01,0.8535473756130891,0.0022206135332776067,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_low,0.05,0.8530517529803785,0.00219600254578138,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_low,0.1,0.8528016031819623,0.0022217867428615643,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_low,0.2,0.852707250514466,0.0022751077020880784,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_low,0.3,0.8523712208096434,0.0022787597132323777,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_matched_high,0.01,0.8537075785797755,0.002250274134055854,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_matched_high,0.05,0.8536080405824922,0.0023044266633293013,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_matched_high,0.1,0.8534735270274302,0.0023354625962732343,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_matched_high,0.2,0.8520307513780099,0.0024381975626781064,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_matched_high,0.3,0.8512754216723739,0.002628172923769329,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_matched_low,0.01,0.8535485617996417,0.002219874819310686,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_matched_low,0.05,0.8532698418508307,0.0022528049500346887,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_matched_low,0.1,0.853055684341524,0.0021722882128429473,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_matched_low,0.2,0.8528158713116378,0.0022908047165354365,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,deg_matched_low,0.3,0.8522591770169916,0.002227417811933481,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,conf_high,0.01,0.853730726163073,0.0021938863036233226,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,conf_high,0.05,0.8537609908656858,0.0021456726883326382,10
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,conf_high,0.1,0.8537220839467612,0.0021336049732466164,10
