dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,baseline,,0.8484223041029852
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,high,0.01,0.8484914418334784
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,high,0.05,0.8484087476852417
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,high,0.1,0.8477553283499942
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,high,0.2,0.8483497772680566
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,high,0.3,0.8472401844757328
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,low,0.01,0.8480779710922949
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,low,0.05,0.8478397170504488
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,low,0.1,0.8472727198783176
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,low,0.2,0.8462163360256381
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,low,0.3,0.8447027619845512
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_high,0.01,0.8482969072388559
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_high,0.05,0.8484561951473446
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_high,0.1,0.8476116303219107
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_high,0.2,0.8472025654164937
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_high,0.3,0.8466247231101676
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_low,0.01,0.848789005202953
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_low,0.05,0.8487676538450069
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_low,0.1,0.8484111200583467
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_low,0.2,0.8485558348177611
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_low,0.3,0.8468639938833443
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_matched_high,0.01,0.8485073706243272
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_matched_high,0.05,0.8479823983472017
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_matched_high,0.1,0.8472262891475455
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_matched_high,0.2,0.8461434702802655
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_matched_high,0.3,0.8442309986470695
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_matched_low,0.01,0.8484843247141629
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_matched_low,0.05,0.8489194857237364
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_matched_low,0.1,0.8493214335098378
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_matched_low,0.2,0.8489835397975756
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,deg_matched_low,0.3,0.8490570833638352
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conf_high,0.01,0.8485256717882813
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conf_high,0.05,0.8487286791439935
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conf_high,0.1,0.8484626344457731
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conf_high,0.2,0.8479857874516377
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conf_high,0.3,0.8466955553928783
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conf_low,0.01,0.8483992581928211
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conf_low,0.05,0.8479762979592168
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conf_low,0.1,0.8470215872396152
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conf_low,0.2,0.8452704369775697
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,conf_low,0.3,0.8431142887354302
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,random,0.01,0.8483572332978155
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,random,0.05,0.8476597556049009
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,random,0.1,0.8480267956153122
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,random,0.2,0.848390107610844
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,0,random,0.3,0.847693985559704
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,baseline,,0.8551049402297543
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,high,0.01,0.8554933315981118
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,high,0.05,0.8572753227105243
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,high,0.1,0.8591603425977894
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,high,0.2,0.8583828820401866
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,high,0.3,0.8579470432097258
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,low,0.01,0.8548290671286694
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,low,0.05,0.8549280289781985
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,low,0.1,0.8547836531292279
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,low,0.2,0.8530884230903754
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,low,0.3,0.8491746852877622
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_high,0.01,0.8569852153708086
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_high,0.05,0.8578243576291452
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_high,0.1,0.858540814306901
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_high,0.2,0.8588560010194426
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_high,0.3,0.858755683528139
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_low,0.01,0.8546155535492058
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_low,0.05,0.8538062354099053
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_low,0.1,0.8537106626648121
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_low,0.2,0.8520276334019289
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_low,0.3,0.851835132269968
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_matched_high,0.01,0.8554208047631829
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_matched_high,0.05,0.8561779306941699
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_matched_high,0.1,0.8564185571091211
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_matched_high,0.2,0.8555312895677941
tolokers,GeneralSheaf,3,4,true,avg_z,masking,zero,auc,1,deg_matched_high,0.3,0.8546935029512323
