dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,baseline,,0.46369426846504214,0.002027363307293457,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,high,0.01,0.4585987240076065,0.002420534152782061,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,high,0.05,0.4550383806228638,0.0022390486027284258,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,high,0.1,0.4530458956956863,0.0021733059330862688,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,high,0.2,0.447019436955452,0.0027116266608459083,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,high,0.3,0.44355708360671997,0.0024131899538701947,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,low,0.01,0.4637922585010529,0.002023280690081838,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,low,0.05,0.46335129737854003,0.0020653775077885198,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,low,0.1,0.46310631930828094,0.0020176560302361834,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,low,0.2,0.46217540502548216,0.0021104709744839,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,low,0.3,0.4614894658327103,0.002247166994346617,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_high,0.01,0.458500736951828,0.0022847341238914427,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_high,0.05,0.45639392733573914,0.0023580461983909403,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_high,0.1,0.45544667541980743,0.0021533363046348296,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_high,0.2,0.45084108710289,0.0023054263966123104,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_high,0.3,0.4478033632040024,0.0025179105738067954,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_low,0.01,0.4637759268283844,0.002174781458439196,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_low,0.05,0.46380858719348905,0.002328815605653355,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_low,0.1,0.4634819537401199,0.0024521127423259587,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_low,0.2,0.4616037875413895,0.0023385045671910484,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_low,0.3,0.4593009948730469,0.0022525000921739553,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_high,0.01,0.4621427357196808,0.002013534533250203,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_high,0.05,0.46235505044460296,0.0018882907218327712,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_high,0.1,0.46155479550361633,0.002174832408766575,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_high,0.2,0.4614568054676056,0.0018986098285998765,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_high,0.3,0.45969295799732207,0.0020972382627140115,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_low,0.01,0.463449290394783,0.0020720300273207415,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_low,0.05,0.4630736529827118,0.0021032261580864373,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_low,0.1,0.46186510324478147,0.002063769546656304,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_low,0.2,0.46041156351566315,0.002189622268942577,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_low,0.3,0.45609995126724245,0.002146263735609209,10
amazon_ratings,GeneralSheaf,5,5,true,last,masking,mean,acc,conf_high,0.01,0.46088518500328063,0.0019426002034332423,10
