dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,baseline,,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,high,0.01,0.6524773597717285,0.011274796966499787,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,high,0.05,0.6500450015068054,0.010970365628923392,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,high,0.1,0.6487082242965698,0.010815277694311887,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,high,0.2,0.6449822902679443,0.010851200839699567,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,high,0.3,0.6476917326450348,0.009577545198599366,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,low,0.01,0.6527125477790833,0.011341323505024349,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,low,0.05,0.654239934682846,0.011035527383061834,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,low,0.1,0.6555505514144897,0.010841902972912883,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,low,0.2,0.6566055536270141,0.010650532386532838,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,low,0.3,0.6629675686359405,0.00868961377821691,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_high,0.01,0.6540445208549499,0.011141515058278102,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_high,0.05,0.65634526014328,0.010451031128868008,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_high,0.1,0.6581947565078735,0.009493990881393747,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_high,0.2,0.6618418455123901,0.007874549155062444,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_high,0.3,0.6619448125362396,0.007298334670577357,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_low,0.01,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_low,0.05,0.6534666955471039,0.011342494134911887,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_low,0.1,0.6528419196605683,0.011516754405913803,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_low,0.2,0.6535954892635345,0.01115045708901645,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_low,0.3,0.654559975862503,0.00986398459047905,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_matched_high,0.01,0.6547136723995208,0.011295484152313146,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_matched_high,0.05,0.6575963854789734,0.010955330986469095,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_matched_high,0.1,0.660325801372528,0.010110877766657691,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_matched_high,0.2,0.6673995554447174,0.00823483550901718,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_matched_high,0.3,0.665932708978653,0.008101873309611872,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_matched_low,0.01,0.6529305577278137,0.011422068284494989,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_matched_low,0.05,0.6545620620250702,0.01112476469879604,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_matched_low,0.1,0.6550973892211914,0.010692996828345938,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_matched_low,0.2,0.6542355835437774,0.010339077051179271,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,deg_matched_low,0.3,0.6524931371212006,0.009864017208394894,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,conf_high,0.01,0.6529964745044708,0.011214208444003811,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,conf_high,0.05,0.6511183261871338,0.010951830251122457,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,conf_high,0.1,0.6504945576190948,0.011108981301162342,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,conf_high,0.2,0.6499525964260101,0.010078727250340619,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,conf_high,0.3,0.6519966542720794,0.00868500693268195,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,conf_low,0.01,0.6538536012172699,0.01132632632776959,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,conf_low,0.05,0.6546898186206818,0.01131704523549824,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,conf_low,0.1,0.6552068769931794,0.01142739664596905,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,conf_low,0.2,0.6572508692741394,0.011268007753601554,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,conf_low,0.3,0.6615715563297272,0.01031868498604803,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,random,0.01,0.6536835670471192,0.01126479259465436,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,random,0.05,0.6553184390068054,0.010908394733547435,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,random,0.1,0.6582146048545837,0.009846144619353858,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,random,0.2,0.6578653514385223,0.009796222640928361,10
citeseer,GeneralSheaf,5,4,true,last,masking,mean,acc,random,0.3,0.6612217009067536,0.00922216665552808,10
