dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,baseline,,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,high,0.01,0.6526927649974823,0.011376781180759927,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,high,0.05,0.6503453254699707,0.011170750441499403,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,high,0.1,0.6489897847175599,0.011050631296892334,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,high,0.2,0.645180857181549,0.011136846818675343,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,high,0.3,0.6484479248523712,0.01020031627422887,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,low,0.01,0.6525617182254791,0.01139175683680482,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,low,0.05,0.6538523674011231,0.011307739997625379,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,low,0.1,0.6550123810768127,0.011201116122034466,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,low,0.2,0.6570108830928802,0.010804757148496585,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,low,0.3,0.6630520224571228,0.009144534961116389,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_high,0.01,0.6533364117145538,0.011322101155764505,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_high,0.05,0.6554878056049347,0.01053216176463787,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_high,0.1,0.6570154130458832,0.009619267668734522,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_high,0.2,0.6604465246200562,0.007523963091592249,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_high,0.3,0.6635564267635345,0.007728228000153519,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_low,0.01,0.6533167719841003,0.011351011284357818,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_low,0.05,0.6534006595611572,0.011404816344114188,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_low,0.1,0.6537869930267334,0.011104090044451296,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_low,0.2,0.6539827287197113,0.010891823190451226,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_low,0.3,0.6546452224254609,0.009662482845009812,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_matched_high,0.01,0.6547143340110779,0.01105518802983964,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_matched_high,0.05,0.6574482619762421,0.010571997573234394,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_matched_high,0.1,0.6608636319637299,0.009958902181520237,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_matched_high,0.2,0.6656818151473999,0.008540918544750186,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_matched_high,0.3,0.6661275804042817,0.00880061601052275,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_matched_low,0.01,0.6530813872814178,0.0113712801624486,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_matched_low,0.05,0.6543262124061584,0.011139676580195098,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_matched_low,0.1,0.6555696427822113,0.010511332241521244,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_matched_low,0.2,0.653999525308609,0.010747519433366813,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,deg_matched_low,0.3,0.6525387525558471,0.01015094799789061,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conf_high,0.01,0.6529106676578522,0.011407103686588925,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conf_high,0.05,0.649957400560379,0.011192421235096634,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conf_high,0.1,0.6508821487426758,0.010956934003404405,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conf_high,0.2,0.651159119606018,0.009907197580721524,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conf_high,0.3,0.6518269598484039,0.009100779929781911,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conf_low,0.01,0.653703224658966,0.011364719128715237,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conf_low,0.05,0.6546254754066467,0.011467496129352694,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conf_low,0.1,0.655226182937622,0.011381610818279058,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conf_low,0.2,0.6580634236335754,0.011246858672109275,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,conf_low,0.3,0.6613092005252839,0.010181094866569523,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,random,0.01,0.6537690341472626,0.011250582087300065,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,random,0.05,0.6548649430274963,0.010973994454092254,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,random,0.1,0.657914537191391,0.00977445193654276,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,random,0.2,0.6576101958751679,0.009730658385167235,10
citeseer,GeneralSheaf,5,4,true,last,masking,zero,acc,random,0.3,0.6619111776351929,0.009521910478985957,10
