dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,baseline,,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,high,0.01,0.8255533158779145,0.00592827683883794,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,high,0.05,0.8215291798114777,0.006273341078436091,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,high,0.1,0.8185110747814178,0.0061872414943400945,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,high,0.2,0.8144869267940521,0.0050726530980075586,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,high,0.3,0.810865193605423,0.005346205873902216,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,low,0.01,0.8295774579048156,0.006142922635380956,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,low,0.05,0.8287726223468781,0.006019095054485789,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,low,0.1,0.8287726283073426,0.005855444226320372,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,low,0.2,0.8269617676734924,0.005775734766968351,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,low,0.3,0.82595574259758,0.006011010458293241,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_high,0.01,0.8255533218383789,0.005880277792965644,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_high,0.05,0.8221328020095825,0.005570203794315814,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_high,0.1,0.8213279724121094,0.0060549647295940505,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_high,0.2,0.8185110688209534,0.004943310834101313,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_high,0.3,0.8138833045959473,0.005068262048402563,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_low,0.01,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_low,0.05,0.8285714209079742,0.005857863639561685,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_low,0.1,0.8287726283073426,0.005665692238312891,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_low,0.2,0.8285714209079742,0.005419913973239049,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_low,0.3,0.8281690120697022,0.005692422767648504,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_matched_high,0.01,0.8285714209079742,0.006284629239001439,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_matched_high,0.05,0.82776660323143,0.006325718827461008,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_matched_high,0.1,0.82776660323143,0.0065705786087541405,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_matched_high,0.2,0.826961773633957,0.0064323396361872735,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_matched_high,0.3,0.8211267709732055,0.006132362019495752,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_matched_low,0.01,0.829778665304184,0.006189864734833359,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_matched_low,0.05,0.8275653839111328,0.00618233848284152,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_matched_low,0.1,0.8299798727035522,0.005922813540251615,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_matched_low,0.2,0.827364182472229,0.0064058520056555785,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,deg_matched_low,0.3,0.8249496996402741,0.007102357942074879,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conf_high,0.01,0.8277665972709656,0.006057641767875827,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conf_high,0.05,0.8213279724121094,0.006271727213446615,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conf_high,0.1,0.8183098673820496,0.006043251504220939,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conf_high,0.2,0.8156941711902619,0.005340143947581512,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conf_high,0.3,0.8116700232028962,0.005123476592713176,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conf_low,0.01,0.8295774579048156,0.006292676832005674,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conf_low,0.05,0.8291750371456146,0.006275929400866306,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conf_low,0.1,0.8293762445449829,0.005850950648330596,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conf_low,0.2,0.8275653898715973,0.005677111537505685,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,conf_low,0.3,0.82595574259758,0.006177091776117621,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,random,0.01,0.8279678046703338,0.006209779171300569,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,random,0.05,0.8281690120697022,0.006183318550519929,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,random,0.1,0.8249496936798095,0.005995840660651818,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,random,0.2,0.8233400464057923,0.006635566854547785,10
cora,GeneralSheaf,5,3,true,last,masking,mean,acc,random,0.3,0.8211267650127411,0.005550180935087287,10
