dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,baseline,,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,high,0.01,0.8255533158779145,0.006049950653641978,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,high,0.05,0.822132796049118,0.006261391929414435,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,high,0.1,0.8191146910190582,0.0061389618179104495,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,high,0.2,0.8144869267940521,0.005359818686504825,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,high,0.3,0.8102615773677826,0.005391824461457596,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,low,0.01,0.8295774579048156,0.006142922635380956,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,low,0.05,0.8289738297462463,0.005961989484908709,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,low,0.1,0.8289738297462463,0.005683886453239376,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,low,0.2,0.8269617676734924,0.005934761200671344,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,low,0.3,0.8251509130001068,0.005806839009377527,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_high,0.01,0.8255533218383789,0.005955528868939935,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_high,0.05,0.8221328020095825,0.005692419354605724,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_high,0.1,0.8211267650127411,0.005944641350023461,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_high,0.2,0.8164989948272705,0.004768226469111728,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_high,0.3,0.8108651995658874,0.004752917361703416,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_low,0.01,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_low,0.05,0.8285714209079742,0.005857863639561685,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_low,0.1,0.8285714209079742,0.005632367503619036,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_low,0.2,0.828370213508606,0.0052780017107470914,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_low,0.3,0.8281690120697022,0.005628050945891763,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_matched_high,0.01,0.8287726283073426,0.0061980345982872945,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_matched_high,0.05,0.8275653958320618,0.006169223973408082,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_matched_high,0.1,0.8271629810333252,0.00657211877728483,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_matched_high,0.2,0.8261569440364838,0.006477496961734096,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_matched_high,0.3,0.820724356174469,0.006320914313458674,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_matched_low,0.01,0.8295774579048156,0.00625395624395745,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_matched_low,0.05,0.8277665913105011,0.006104246929716997,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_matched_low,0.1,0.8299798727035522,0.005922813540251615,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_matched_low,0.2,0.8269617676734924,0.006419740829274938,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,deg_matched_low,0.3,0.8257545292377472,0.007305789299620058,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,conf_high,0.01,0.8277665972709656,0.006057641767875827,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,conf_high,0.05,0.8211267650127411,0.006275921680689396,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,conf_high,0.1,0.8177062451839447,0.006037554673268414,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,conf_high,0.2,0.8142857193946839,0.0053541508127017716,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,conf_high,0.3,0.8100603640079498,0.0049301891596907005,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,conf_low,0.01,0.8295774579048156,0.006292676832005674,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,conf_low,0.05,0.8291750371456146,0.006275929400866306,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,conf_low,0.1,0.8293762445449829,0.005753265142291362,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,conf_low,0.2,0.826961773633957,0.005466024899539551,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,conf_low,0.3,0.8251509130001068,0.0062888095705969016,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,random,0.01,0.8279678046703338,0.006209779171300569,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,random,0.05,0.8283702194690704,0.006103249861290772,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,random,0.1,0.8243460774421691,0.006318354213432885,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,random,0.2,0.8233400464057923,0.0063805195743267176,10
cora,GeneralSheaf,5,3,true,last,masking,zero,acc,random,0.3,0.8211267709732055,0.005520925505781884,10
