dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,baseline,,0.9545872575002157,0.0019660288763484997,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,high,0.01,0.9523210723055058,0.0020359093089330604,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,high,0.05,0.9423765417770078,0.002717779375069636,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,high,0.1,0.9281980273004005,0.0033346289260333625,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,high,0.2,0.9048460384377753,0.0038636154405972,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,high,0.3,0.8845582329328057,0.004636089820927319,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,low,0.01,0.9544848610724731,0.0019991227413128543,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,low,0.05,0.9536821422984133,0.0019707535777850143,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,low,0.1,0.9533349146489754,0.001899186096245406,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,low,0.2,0.951443387763798,0.002215168308582394,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,low,0.3,0.9478828779203468,0.002249960766035605,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,deg_high,0.01,0.9537029670033755,0.0019484684730892367,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,deg_high,0.05,0.9504349681364623,0.0019783574451708013,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,deg_high,0.1,0.9465855344286039,0.0018908542281411442,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,deg_high,0.2,0.9370042774054758,0.002182770685100776,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,deg_high,0.3,0.9264063731343587,0.0019433312682912345,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,deg_low,0.01,0.9540965702176976,0.0019922401312605907,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,deg_low,0.05,0.951292175615922,0.0020317701515758088,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,deg_low,0.1,0.9470679039921126,0.0019893644374778664,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,deg_low,0.2,0.938527151432621,0.002170202606418939,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,deg_low,0.3,0.9272015121424115,0.00231126699210673,10
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,deg_matched_high,0.01,0.9539985628715806,0.0019822896290629236,10
