dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,baseline,,0.9506326784445122
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,high,0.01,0.9440076403695806
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,high,0.05,0.925296984465428
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,high,0.1,0.9107602929231394
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,high,0.2,0.8851961493552645
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,high,0.3,0.8671470453853183
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,low,0.01,0.9506485429992892
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,low,0.05,0.950278898872982
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,low,0.1,0.9507627677936845
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,low,0.2,0.9513989364402478
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,low,0.3,0.9488050817341862
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_high,0.01,0.949449182658138
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_high,0.05,0.9463381434663417
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_high,0.1,0.9443249314651234
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_high,0.2,0.9368051325007615
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_high,0.3,0.9283985049243579
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_low,0.01,0.9495935501066098
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_low,0.05,0.9465951492537314
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_low,0.1,0.9427448218093207
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_low,0.2,0.9383289229871054
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_low,0.3,0.9278416590516803
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_matched_high,0.01,0.9492254924357802
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_matched_high,0.05,0.9476120672149456
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_matched_high,0.1,0.9438696187430196
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_matched_high,0.2,0.9419103462280434
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_matched_high,0.3,0.9373334221748401
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_matched_low,0.01,0.949907668291197
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_matched_low,0.05,0.946591976342776
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_matched_low,0.1,0.9410171717940907
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_matched_low,0.2,0.9306750685348767
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,deg_matched_low,0.3,0.9139807975428977
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conf_high,0.01,0.9503613945578232
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conf_high,0.05,0.9496411437709412
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conf_high,0.1,0.94690133516093
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conf_high,0.2,0.9364688039394862
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conf_high,0.3,0.9254968778556198
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conf_low,0.01,0.9501995760990963
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conf_low,0.05,0.9485528353132298
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conf_low,0.1,0.9457368768402884
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conf_low,0.2,0.9370319956340746
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,conf_low,0.3,0.9265011041730125
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,random,0.01,0.9502535155853388
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,random,0.05,0.9477421565641183
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,random,0.1,0.9424529140014216
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,random,0.2,0.9289347268758249
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,0,random,0.3,0.9230124885775206
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,baseline,,0.9601665053723417
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,high,0.01,0.957306632918931
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,high,0.05,0.9446605374823198
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,high,0.1,0.9289281371746198
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,high,0.2,0.907435668378868
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,high,0.3,0.8872909377403906
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,low,0.01,0.9599447256755752
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,low,0.05,0.9598485694434103
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,low,0.1,0.9584481004491427
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,low,0.2,0.9576912578475894
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,low,0.3,0.9535906598178615
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_high,0.01,0.9599695401871015
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_high,0.05,0.9564427777364204
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_high,0.1,0.9515093426635897
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_high,0.2,0.9426784783741532
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_high,0.3,0.9317259733492146
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_low,0.01,0.9595492443981242
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_low,0.05,0.9575904488945134
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_low,0.1,0.9528927516811831
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_low,0.2,0.9441301272984441
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_low,0.3,0.9322610362540013
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_matched_high,0.01,0.9596159333978511
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_matched_high,0.05,0.9558797985061662
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_matched_high,0.1,0.9547600436735403
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_matched_high,0.2,0.9484649122807017
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_matched_high,0.3,0.9460672101044693
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_matched_low,0.01,0.9583193751705997
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_matched_low,0.05,0.9552780466016525
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_matched_low,0.1,0.9515930916399911
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_matched_low,0.2,0.9413648601702275
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,deg_matched_low,0.3,0.9239171567532692
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,conf_high,0.01,0.9602083798605425
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,conf_high,0.05,0.9592731829573934
minesweeper,GeneralSheaf,5,6,true,last,masking,mean,auc,1,conf_high,0.1,0.9587334673316957
