dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,baseline,,0.9545873270562302,0.001965973570760158,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,high,0.01,0.9521458019172236,0.002023973908255993,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,high,0.05,0.9428493676737475,0.002798161495104839,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,high,0.1,0.9300587981817344,0.0034939961345704052,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,high,0.2,0.9079303716099545,0.003972129615675143,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,high,0.3,0.8878142303819763,0.0043683525204123224,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,low,0.01,0.9545853211884632,0.001965701294203759,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,low,0.05,0.9546174484376684,0.0019555280852221807,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,low,0.1,0.9545870150964081,0.00198467068663442,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,low,0.2,0.9532873316626445,0.0022162190400843405,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,low,0.3,0.9506974887534533,0.002220744969457272,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_high,0.01,0.9539712309420307,0.0019123423524988015,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_high,0.05,0.9515502777220582,0.0018996862601877863,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_high,0.1,0.9479587646707257,0.001896351598930912,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_high,0.2,0.939745484331794,0.0019673045446046413,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_high,0.3,0.9304118232889284,0.0017984775423189546,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_low,0.01,0.9541368877473234,0.0019990623278733893,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_low,0.05,0.9517899663377138,0.002047908081191303,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_low,0.1,0.9484292065953086,0.0020501364930533635,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_low,0.2,0.9410342892060178,0.002054122498870467,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_low,0.3,0.9309107784772237,0.002108165214937856,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_matched_high,0.01,0.9540744413324725,0.0019717574601873277,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_matched_high,0.05,0.9515590152654653,0.001930978064951186,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_matched_high,0.1,0.9483580309540424,0.002088091210383813,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_matched_high,0.2,0.9455636034327938,0.002050108503750323,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_matched_high,0.3,0.94233464277499,0.0026920607400364657,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_matched_low,0.01,0.953691076945694,0.0019770383294514097,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_matched_low,0.05,0.9504901475490202,0.002052710288718212,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_matched_low,0.1,0.9462923641150065,0.0020158320310150876,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_matched_low,0.2,0.9344479494301223,0.0025796903498316363,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,deg_matched_low,0.3,0.919975863699967,0.0025428932002159095,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conf_high,0.01,0.954504064970702,0.001991485792002045,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conf_high,0.05,0.9535225112668508,0.0019848148117463673,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conf_high,0.1,0.9509934794419692,0.002143490825420385,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conf_high,0.2,0.9423898743630591,0.0023939262149766,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conf_high,0.3,0.9332077175488378,0.0026444646203517643,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conf_low,0.01,0.9540551050411082,0.0019827928920103976,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conf_low,0.05,0.9517684828554142,0.0020531442414628794,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conf_low,0.1,0.9492395207000401,0.0021983073966979063,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conf_low,0.2,0.9430392113899222,0.0023552214314052407,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,conf_low,0.3,0.9347137304029921,0.002614338123261282,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,random,0.01,0.9539242092493602,0.0019491484192363964,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,random,0.05,0.9510342655319365,0.002231383873024712,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,random,0.1,0.9483282059871762,0.001879342451501986,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,random,0.2,0.9396184586794274,0.002145484860045557,10
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,random,0.3,0.930207267472975,0.002517945319383837,10
