dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,baseline,,0.9506318852167733
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,high,0.01,0.9441520078180526
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,high,0.05,0.9258570032490607
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,high,0.1,0.9116280840694486
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,high,0.2,0.8854325312214438
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,high,0.3,0.8667726418925779
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,low,0.01,0.9506929637526652
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,low,0.05,0.9508500228449588
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,low,0.1,0.9508658873997361
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,low,0.2,0.9515702736318409
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,low,0.3,0.9499727129657835
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_high,0.01,0.949631625038075
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_high,0.05,0.9477278784648188
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_high,0.1,0.945920905675703
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_high,0.2,0.9391197710427454
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_high,0.3,0.9317697228144988
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_low,0.01,0.9497109478119606
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_low,0.05,0.9469489288252615
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_low,0.1,0.9441567671844857
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_low,0.2,0.9390547263681592
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_low,0.3,0.9312144633972992
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_matched_high,0.01,0.9492683267336786
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_matched_high,0.05,0.9484655802619555
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_matched_high,0.1,0.9460605137577418
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_matched_high,0.2,0.944315412732257
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_matched_high,0.3,0.9420943750634582
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_matched_low,0.01,0.9502011625545741
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_matched_low,0.05,0.9469758985683825
minesweeper,GeneralSheaf,5,6,true,last,masking,zero,auc,0,deg_matched_low,0.1,0.9441520078180525
