dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,baseline,,0.8907707870006562,0.0013188493490263614,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,high,0.01,0.890314394235611,0.0013156277935910021,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,high,0.05,0.8897058844566346,0.0013473966868629986,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,high,0.1,0.8894016206264496,0.0013492102041907956,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,high,0.2,0.8886409640312195,0.0014982204513456945,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,high,0.3,0.8881338655948638,0.0017558412551845646,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,low,0.01,0.8907200813293457,0.0013488280652787143,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,low,0.05,0.890618646144867,0.001339358069648557,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,low,0.1,0.890796160697937,0.0012743492368493014,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,low,0.2,0.8911004066467285,0.0014199922651716268,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,low,0.3,0.8909736216068268,0.0013606903334442404,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_high,0.01,0.890593308210373,0.0014154599210772258,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_high,0.05,0.890314394235611,0.001414528407368804,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_high,0.1,0.8899087250232697,0.0013372426678419755,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_high,0.2,0.8889959394931793,0.001410243325593129,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_high,0.3,0.8876774787902832,0.00166495744870515,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_low,0.01,0.890846848487854,0.0013287819254973188,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_low,0.05,0.8910496890544891,0.0013315872019367288,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_low,0.1,0.8909989774227143,0.001408721302369221,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_low,0.2,0.891125762462616,0.0014940936557126386,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_low,0.3,0.8911004066467285,0.0016244001446729269,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_matched_high,0.01,0.8910750389099121,0.0013579447462688185,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_matched_high,0.05,0.8909482717514038,0.0013665588899506678,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_matched_high,0.1,0.8907707870006562,0.0013909699844509079,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_matched_high,0.2,0.8903397560119629,0.0012734402318210628,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_matched_high,0.3,0.8902383327484131,0.0011403842239419149,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_matched_low,0.01,0.8908722043037415,0.0013772200385477786,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_matched_low,0.05,0.8909229218959809,0.0013779702837366256,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_matched_low,0.1,0.8914046585559845,0.0014578766963381441,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_matched_low,0.2,0.890593308210373,0.0014880789327185056,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,deg_matched_low,0.3,0.8909229218959809,0.0015334208093805766,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,conf_high,0.01,0.8906693696975708,0.0013525390737139055,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,conf_high,0.05,0.8905933022499084,0.0013263574445274665,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,conf_high,0.1,0.8905679523944855,0.0014181590805898026,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,conf_high,0.2,0.8905933022499084,0.0013650529056150142,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,conf_high,0.3,0.8896805346012115,0.001494202431928937,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,conf_low,0.01,0.8906440138816833,0.001322861410791337,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,conf_low,0.05,0.890593308210373,0.0013763103668519615,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,conf_low,0.1,0.8907707810401917,0.0011950779436970466,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,conf_low,0.2,0.8910750448703766,0.0011790484452474932,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,conf_low,0.3,0.890593308210373,0.0012308281671973538,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,random,0.01,0.8908468604087829,0.0013494253127713381,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,random,0.05,0.8902636945247651,0.0013496837450778286,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,random,0.1,0.8910243391990662,0.001578455195071709,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,random,0.2,0.8910243391990662,0.0013942002985057379,10
pubmed,GeneralSheaf,3,4,true,last,masking,mean,acc,random,0.3,0.8898833692073822,0.0014771532748244303,10
