dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,baseline,,0.8907707870006562,0.0013188493490263614,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,high,0.01,0.8904665350914002,0.0013189440005111738,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,high,0.05,0.8899847865104675,0.0013968018214191088,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,high,0.1,0.8897819459438324,0.001411272573621187,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,high,0.2,0.889173424243927,0.001576684422712456,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,high,0.3,0.8883874237537384,0.0017484974635146588,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,low,0.01,0.8907707870006562,0.0013168980858432402,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,low,0.05,0.8906947195529937,0.0013613778410464094,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,low,0.1,0.8907200872898102,0.001360689889178174,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,low,0.2,0.8912525236606598,0.0014469908978028412,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,low,0.3,0.8908468544483185,0.0013598610512397915,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,deg_high,0.01,0.8907707929611206,0.001327594691379854,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,deg_high,0.05,0.8905172228813172,0.0014279149516062564,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,deg_high,0.1,0.8906440138816833,0.001414457536734494,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,deg_high,0.2,0.8892748475074768,0.0013799495625514792,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,deg_high,0.3,0.8881845831871032,0.001490132421981324,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,deg_low,0.01,0.890846848487854,0.0013287819254973188,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,deg_low,0.05,0.8909736275672913,0.00133685986636953,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,deg_low,0.1,0.8909989833831787,0.0013926534389454134,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,deg_low,0.2,0.8911764740943908,0.00145952875826671,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,deg_low,0.3,0.891379302740097,0.0015741339985569744,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,deg_matched_high,0.01,0.8911003947257996,0.0013311965415212068,10
pubmed,GeneralSheaf,3,4,true,last,masking,zero,acc,deg_matched_high,0.05,0.8912018179893494,0.0013191682374230794,10
