dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,baseline,,0.7666904058793513,0.0045477071653068106,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,high,0.01,0.763784289866985,0.004221567512357078,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,high,0.05,0.7610627925071979,0.004081652065821455,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,high,0.1,0.7584934970180716,0.0038014431632880535,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,high,0.2,0.7577513166431544,0.003833608617917495,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,high,0.3,0.7574940026644563,0.0038408115872061444,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,low,0.01,0.7663875952704746,0.0045194665856971485,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,low,0.05,0.7659418645190933,0.004517756588089453,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,low,0.1,0.7654151033573534,0.0044910734144322315,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,low,0.2,0.7649865622741618,0.004429386983621442,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,low,0.3,0.7643039165660377,0.004391719452961464,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_high,0.01,0.7648978317236539,0.004345460652829897,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_high,0.05,0.7619500864678407,0.00417256505588672,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_high,0.1,0.7608043356291372,0.004115746258568219,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_high,0.2,0.7598969658908035,0.0038936856740878823,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_high,0.3,0.7591346173826912,0.0038636733156510086,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_low,0.01,0.7666013751734553,0.004549414079404005,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_low,0.05,0.7664439898501302,0.004578253225526241,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_low,0.1,0.7661363536661672,0.004577608054631014,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_low,0.2,0.7655641997741908,0.004677408142837371,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_low,0.3,0.7650660457298278,0.0045047515904705765,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_matched_high,0.01,0.7666338381331259,0.004547093015295998,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_matched_high,0.05,0.7657652692509276,0.004493733154854531,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_matched_high,0.1,0.7654748227351545,0.004468808748333462,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_matched_high,0.2,0.7650454850857406,0.004476716606826238,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_matched_high,0.3,0.7647260735750122,0.004528072827124303,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_matched_low,0.01,0.7666322796339952,0.004532651920758551,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_matched_low,0.05,0.7665385965195829,0.00453650226972,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_matched_low,0.1,0.7660407657194839,0.004680089678127391,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_matched_low,0.2,0.765493767157921,0.004711695050756104,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,deg_matched_low,0.3,0.7652082501171761,0.004516253858337937,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conf_high,0.01,0.7659680588489272,0.004511733464206492,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conf_high,0.05,0.7648508804942866,0.004474856444841715,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conf_high,0.1,0.7634205361698788,0.004476825940546605,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conf_high,0.2,0.7626884340893401,0.004540021406847438,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conf_high,0.3,0.7627665553013214,0.004532389889602889,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conf_low,0.01,0.7658962755334108,0.0044868112711931255,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conf_low,0.05,0.7644872422415604,0.0042405419542112435,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conf_low,0.1,0.7632055556453456,0.004124493232911823,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conf_low,0.2,0.7609743736565161,0.004145627372065621,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,conf_low,0.3,0.7596552138145364,0.004016648071879856,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,random,0.01,0.7664998187523233,0.004532236705890364,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,random,0.05,0.7661950225001096,0.004535867410304311,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,random,0.1,0.7663334518562303,0.004327284531271788,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,random,0.2,0.7647746525701382,0.004424761295748731,10
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,random,0.3,0.7626080617119477,0.004482599233150147,10
