dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,baseline,,0.7659958578556437
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,high,0.01,0.7672822545825646
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,high,0.05,0.76439325897176
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,high,0.1,0.7624110789662648
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,high,0.2,0.7599739326589843
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,high,0.3,0.7590783151585399
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,low,0.01,0.7656255122844365
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,low,0.05,0.7653590666552762
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,low,0.1,0.7650164277352814
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,low,0.2,0.7650563714907794
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,low,0.3,0.7641275060088801
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_high,0.01,0.7689032091228767
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_high,0.05,0.7657467288834913
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_high,0.1,0.7644268532863552
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_high,0.2,0.763757737659573
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_high,0.3,0.7622107829668745
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_low,0.01,0.7656742298128185
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_low,0.05,0.7657506539924129
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_low,0.1,0.7656963951337884
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_low,0.2,0.7652831042532019
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_low,0.3,0.7648311395052978
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_matched_high,0.01,0.7672104481781723
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_matched_high,0.05,0.7659081201268041
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_matched_high,0.1,0.7639249011218885
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_matched_high,0.2,0.7633828897575436
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_matched_high,0.3,0.7639664610987073
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_matched_low,0.01,0.7660446908284058
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_matched_low,0.05,0.7662968213544397
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_matched_low,0.1,0.7655684827606908
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_matched_low,0.2,0.7657105947925349
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,deg_matched_low,0.3,0.7629635957691944
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conf_high,0.01,0.7660585441540122
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conf_high,0.05,0.7639705016520091
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conf_high,0.1,0.7620124495219449
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conf_high,0.2,0.760978875987338
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conf_high,0.3,0.7594577808357711
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conf_low,0.01,0.765839315276293
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conf_low,0.05,0.7657500767705128
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conf_low,0.1,0.766678249586132
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conf_low,0.2,0.7641505948848903
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,conf_low,0.3,0.7639279026757698
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,random,0.01,0.7659794647536764
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,random,0.05,0.7660214865080153
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,random,0.1,0.7661209995636202
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,random,0.2,0.7637476939985085
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,0,random,0.3,0.7623718278770472
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,baseline,,0.7648085124068076
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,high,0.01,0.7603845683188297
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,high,0.05,0.7583911902084695
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,high,0.1,0.7565473125702766
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,high,0.2,0.7573199818059657
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,high,0.3,0.7576643523916612
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,low,0.01,0.7648369117243004
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,low,0.05,0.7643272247863702
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,low,0.1,0.7630990120269956
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,low,0.2,0.7621220062386144
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,low,0.3,0.7617314579008979
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_high,0.01,0.7610289788482807
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_high,0.05,0.7579826325474649
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_high,0.1,0.7568231091942212
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_high,0.2,0.7565700551131469
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_high,0.3,0.7552750000577222
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_low,0.01,0.7649851423082874
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_low,0.05,0.7649300753390025
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_low,0.1,0.76452602000882
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_low,0.2,0.7639751194272111
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_low,0.3,0.7640568540482882
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_matched_high,0.01,0.763886111810191
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_matched_high,0.05,0.7636332886178768
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_matched_high,0.1,0.7641529037724915
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_matched_high,0.2,0.7642335993941478
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_matched_high,0.3,0.7625932501979872
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_matched_low,0.01,0.7647236607874692
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_matched_low,0.05,0.7652235349530949
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_matched_low,0.1,0.7644755708147372
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_matched_low,0.2,0.7643089845743218
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,deg_matched_low,0.3,0.7654390696106522
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conf_high,0.01,0.7617218760173536
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conf_high,0.05,0.7619011611395745
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conf_high,0.1,0.7607666892168022
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conf_high,0.2,0.7594615905003129
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conf_high,0.3,0.759021401079174
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conf_low,0.01,0.7650028052984352
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conf_low,0.05,0.7647617574328863
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conf_low,0.1,0.7631084784661598
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conf_low,0.2,0.7626067571904533
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,conf_low,0.3,0.7623988418619794
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,random,0.01,0.7645120512388336
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,random,0.05,0.7651179033453472
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,random,0.1,0.7632391615043789
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,random,0.2,0.7624514844992831
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,1,random,0.3,0.7594395406237229
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,2,baseline,,0.7653573349895753
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,2,high,0.01,0.760748679893514
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,2,high,0.05,0.7590069705316675
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,2,high,0.1,0.7559328021352594
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,2,high,0.2,0.7545585522351186
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,2,high,0.3,0.7544129768718728
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,2,low,0.01,0.7651643119861282
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,2,low,0.05,0.7651362590017756
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,2,low,0.1,0.765580258087456
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,2,low,0.2,0.7658057209616979
questions,GeneralSheaf,5,4,true,last,masking,mean,auc,2,low,0.3,0.764940003555687
