dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,baseline,,0.7666903827904754,0.004547774263396725,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,high,0.01,0.7632702622203649,0.00423042849102066,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,high,0.05,0.7607726576912508,0.004107505229345636,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,high,0.1,0.7582964103724465,0.0038171058218878116,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,high,0.2,0.7575149211861218,0.003812117644076325,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,high,0.3,0.7577299709772827,0.003822389095648107,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,low,0.01,0.7664657280268939,0.00453942384580493,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,low,0.05,0.7660970910325114,0.004490332575696429,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,low,0.1,0.7659818429079054,0.004431057513094458,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,low,0.2,0.7657901936925808,0.004377434872009769,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,low,0.3,0.7653059276071381,0.004229481459521155,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_high,0.01,0.7645424246552254,0.004409182056883259,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_high,0.05,0.762216762985761,0.004069867673950221,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_high,0.1,0.7616216125732784,0.0038275013030115578,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_high,0.2,0.7612472957153973,0.003635236237312663,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_high,0.3,0.7608620347302872,0.003611761741073685,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_low,0.01,0.7666237598387473,0.004571513332987889,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_low,0.05,0.7664422928177433,0.004657387944054412,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_low,0.1,0.766151638502086,0.004670950750712331,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_low,0.2,0.7655460865509606,0.004809815436088338,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_low,0.3,0.7651787425336347,0.00460843499663428,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_matched_high,0.01,0.7667809604510643,0.004516404219283363,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_matched_high,0.05,0.7661389511647183,0.0044095293397315195,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_matched_high,0.1,0.7657726692356889,0.0044440337351897155,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_matched_high,0.2,0.7656618772641529,0.004389837963010407,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_matched_high,0.3,0.765502783364003,0.004302303164803381,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_matched_low,0.01,0.766641053406879,0.00453349775413954,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_matched_low,0.05,0.7666200887074617,0.004497354228830853,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_matched_low,0.1,0.7662653858497513,0.004594825743412448,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_matched_low,0.2,0.7657378165773512,0.004597391216614846,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,deg_matched_low,0.3,0.7657290312600292,0.004407660383739009,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conf_high,0.01,0.765994195456571,0.004521750166229572,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conf_high,0.05,0.7650022973431629,0.0045118446520511545,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conf_high,0.1,0.7635884500206646,0.004465619017733721,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conf_high,0.2,0.7627604252047406,0.004563896330163654,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conf_high,0.3,0.7627644542136045,0.004498827704417968,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conf_low,0.01,0.766144838828101,0.004420468425686202,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conf_low,0.05,0.765002031821089,0.004066312135301861,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conf_low,0.1,0.7640705226628862,0.0038222447855590226,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conf_low,0.2,0.7619924430108818,0.0038439001714350085,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,conf_low,0.3,0.7609074967271519,0.003627179244116848,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,random,0.01,0.7664818325179112,0.0045118457636515695,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,random,0.05,0.7661878303152323,0.004534970562683752,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,random,0.1,0.7664326993897611,0.00428865368812503,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,random,0.2,0.7649834799092147,0.004243936210228324,10
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,random,0.3,0.7628695894105179,0.004265370701584482,10
