dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,baseline,,0.765996088744404
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,high,0.01,0.7668104334012915
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,high,0.05,0.7637959497493703
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,high,0.1,0.761747042892205
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,high,0.2,0.758941513568178
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,high,0.3,0.7575799625498432
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,low,0.01,0.7656652251511744
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,low,0.05,0.7658910343585563
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,low,0.1,0.7657841328626283
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,low,0.2,0.765772819313383
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,low,0.3,0.7652649794855336
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_high,0.01,0.7685026171240958
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_high,0.05,0.7647100383506229
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_high,0.1,0.7629883008665256
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_high,0.2,0.7629082979111493
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_high,0.3,0.761366191882413
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_low,0.01,0.765688660360325
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_low,0.05,0.765801680408396
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_low,0.1,0.7659243977843915
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_low,0.2,0.7655238057856105
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_low,0.3,0.7654608885984822
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_matched_high,0.01,0.7669106391231768
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_matched_high,0.05,0.7654754345903686
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_matched_high,0.1,0.7633831206463038
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_matched_high,0.2,0.7629137237970118
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_matched_high,0.3,0.7648058571860664
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_matched_low,0.01,0.7660570433770713
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_matched_low,0.05,0.7662064284048589
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_matched_low,0.1,0.7654337591691699
questions,GeneralSheaf,5,4,true,last,masking,zero,auc,0,deg_matched_low,0.2,0.765531540559074
