dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,baseline,,0.8709463953971863,0.0021164231955113242,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,high,0.01,0.8644385516643525,0.00214503304203721,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,high,0.05,0.8485991597175598,0.002785921443847676,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,high,0.1,0.8345907807350159,0.003191499443947037,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,high,0.2,0.8098830819129944,0.003427653789815587,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,high,0.3,0.7888153493404388,0.0036608431787799717,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,low,0.01,0.8711008191108703,0.002143850310826836,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,low,0.05,0.8696889460086823,0.002058855284863531,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,low,0.1,0.8674167275428772,0.002009075109558087,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,low,0.2,0.8624531209468842,0.0018526200509982418,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,low,0.3,0.8548422694206238,0.0017398414825321117,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_high,0.01,0.86450474858284,0.002001258478366292,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_high,0.05,0.846790200471878,0.0021377586886989525,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_high,0.1,0.8309728682041169,0.0021964913798803946,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_high,0.2,0.8079858899116517,0.002447259718604775,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_high,0.3,0.7936024785041809,0.0022551771768182295,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_low,0.01,0.8699316143989563,0.002160615315052233,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_low,0.05,0.8658945560455322,0.0020948014889864094,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_low,0.1,0.8607324123382568,0.0018462514530586303,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_low,0.2,0.8488197684288025,0.001820499689438805,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_low,0.3,0.8378336608409882,0.00191949592336211,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_high,0.01,0.8674829006195068,0.0021067527316228486,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_high,0.05,0.859099930524826,0.0018812374261631968,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_high,0.1,0.8512022912502288,0.0017734320631952708,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_high,0.2,0.8389366865158081,0.0021359827705478293,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_high,0.3,0.8321641325950623,0.0021902769310913296,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_low,0.01,0.8694904029369355,0.002137062774517129,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_low,0.05,0.8640414714813233,0.0019659913895846504,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_low,0.1,0.8578866064548493,0.0020046651647982953,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_low,0.2,0.8394881904125213,0.00203559375122876,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,deg_matched_low,0.3,0.818971985578537,0.0020767792122735503,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,conf_high,0.01,0.8696889460086823,0.0021141361432180936,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,conf_high,0.05,0.8628943204879761,0.0024698351663416233,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,conf_high,0.1,0.8552614092826843,0.002844761376513722,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,conf_high,0.2,0.8404367923736572,0.0026741487402983798,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,conf_high,0.3,0.8222810506820679,0.0024919899674445004,10
roman_empire,GeneralSheaf,5,5,true,last,masking,mean,acc,conf_low,0.01,0.8702845752239228,0.002151091426673748,10
