dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,baseline,,0.8709463953971863,0.0021164231955113242,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,high,0.01,0.8660710394382477,0.002053742875699274,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,high,0.05,0.8509375751018524,0.0026139600899185763,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,high,0.1,0.8359364688396453,0.0028021189771263223,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,high,0.2,0.8080520629882812,0.003363978635002917,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,high,0.3,0.784315025806427,0.0031002652124119253,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,low,0.01,0.8707919716835022,0.0021242406678862614,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,low,0.05,0.8697551190853119,0.0020807595603565894,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,low,0.1,0.8681005895137787,0.00214983594257965,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,low,0.2,0.8644606232643127,0.0019257609617030344,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,low,0.3,0.8588352084159852,0.0018363120376244466,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_high,0.01,0.8677034974098206,0.001977592832443157,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_high,0.05,0.8590558171272278,0.0022854576604424714,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_high,0.1,0.8493712782859802,0.0019249058161519537,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_high,0.2,0.8296271800994873,0.001671957299503055,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_high,0.3,0.8122876703739166,0.0018214114559074483,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_low,0.01,0.8697551250457763,0.0021185391723173613,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_low,0.05,0.8654312789440155,0.002072978622435192,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_low,0.1,0.8598499894142151,0.0019297660284030614,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_low,0.2,0.8473417103290558,0.0017305825179666232,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_low,0.3,0.8346790194511413,0.0018436515870831724,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_matched_high,0.01,0.8686521112918854,0.0020914892315693034,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_matched_high,0.05,0.8628060817718506,0.001836046141107585,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_matched_high,0.1,0.8551952362060546,0.002026248733425501,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_matched_high,0.2,0.8454004049301147,0.0019885778900705347,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_matched_high,0.3,0.8382748663425446,0.002546323859983359,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_matched_low,0.01,0.8693580329418182,0.0020934868237075343,10
roman_empire,GeneralSheaf,5,5,true,last,masking,zero,acc,deg_matched_low,0.05,0.8626516580581665,0.002191035575834429,10
