dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,baseline,,0.853627358477777,0.0021922194193278147,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,high,0.01,0.8537019865574562,0.0021255433314667518,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,high,0.05,0.8537050028604041,0.0022019000586897433,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,high,0.1,0.8531575947119127,0.002264672373320251,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,high,0.2,0.8509675893164583,0.002139726269199234,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,high,0.3,0.8486041634470174,0.0020714102533026034,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,low,0.01,0.8537016815380569,0.0021718421590271085,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,low,0.05,0.8535604575562117,0.002164336362249485,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,low,0.1,0.8529465551786872,0.002205736795527402,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,low,0.2,0.8515579035271088,0.0023123345264163928,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,low,0.3,0.8498260372693037,0.002482048164086561,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_high,0.01,0.8536875489725592,0.002347021148435005,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_high,0.05,0.8532936672550152,0.002346903209634311,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_high,0.1,0.8528082797177012,0.002290494294284267,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_high,0.2,0.8513271732971106,0.002150636221759344,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_high,0.3,0.8491867166085096,0.0022025573121828607,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_low,0.01,0.8535550349891142,0.0022057144520577516,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_low,0.05,0.8533365394261295,0.002172997209934308,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_low,0.1,0.8531791833071694,0.00221971733177634,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_low,0.2,0.853135294404724,0.002279720621772388,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_low,0.3,0.852752901751218,0.0022605384944202936,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_matched_high,0.01,0.8535655073218212,0.002248167905287713,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_matched_high,0.05,0.8532917354654866,0.002237679761350266,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_matched_high,0.1,0.8526071702604732,0.002259243538753278,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_matched_high,0.2,0.8510174091516666,0.002241267230590652,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_matched_high,0.3,0.849324653159052,0.0023414989890584896,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_matched_low,0.01,0.8535384283773781,0.0021925173698709257,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_matched_low,0.05,0.8532468976137993,0.0022375827124085303,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_matched_low,0.1,0.8529353711340486,0.0022443145576101367,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_matched_low,0.2,0.8524129067942054,0.0022436274843821687,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,deg_matched_low,0.3,0.8512640681725137,0.0022849691008210928,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,conf_high,0.01,0.8537341830495976,0.002195059191900836,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,conf_high,0.05,0.8538033885621792,0.0021503021577472955,10
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,conf_high,0.1,0.8537720732371913,0.002145777714673733,10
