dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,baseline,,0.8484233208343162
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,high,0.01,0.8487720596807735
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,high,0.05,0.8483548609247105
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,high,0.1,0.848218618926386
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,high,0.2,0.8465725309018541
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,high,0.3,0.8455618999590595
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,low,0.01,0.8482684387615942
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,low,0.05,0.8478763193783568
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,low,0.1,0.846742663944538
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,low,0.2,0.8455344482131285
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,low,0.3,0.8444804367335541
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_high,0.01,0.8482921624926456
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_high,0.05,0.848919146813293
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_high,0.1,0.847876997199244
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_high,0.2,0.8472998327138048
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_high,0.3,0.845808965672439
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_low,0.01,0.8488117122026739
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_low,0.05,0.8489584604247495
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_low,0.1,0.8484331492371804
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_low,0.2,0.8484006138345954
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_low,0.3,0.846995830045902
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_matched_high,0.01,0.848551767892438
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_matched_high,0.05,0.8487673149345633
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_matched_high,0.1,0.8483816348497543
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_matched_high,0.2,0.8465481293499156
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_matched_high,0.3,0.8457337275539614
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_matched_low,0.01,0.8484185760881059
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_matched_low,0.05,0.8488822055749412
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_matched_low,0.1,0.8484656846397653
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_matched_low,0.2,0.8483538441933796
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,deg_matched_low,0.3,0.8466067608566572
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conf_high,0.01,0.8484917807439218
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conf_high,0.05,0.8486649639805979
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conf_high,0.1,0.8482921624926456
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conf_high,0.2,0.8475811283819873
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conf_high,0.3,0.8459296177903581
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conf_low,0.01,0.8485521068028815
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conf_low,0.05,0.8484904251021476
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conf_low,0.1,0.848104406106895
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conf_low,0.2,0.8466803044229169
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,conf_low,0.3,0.8448291755800112
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,random,0.01,0.8483653671484619
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,random,0.05,0.8477831190063687
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,random,0.1,0.8482084516130782
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,random,0.2,0.8482016734042064
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,0,random,0.3,0.8469693950313018
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,baseline,,0.8551049402297543
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,high,0.01,0.8557631043112119
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,high,0.05,0.8577009942276772
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,high,0.1,0.8581388665207995
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,high,0.2,0.8573044690086735
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,high,0.3,0.8551856009153294
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,low,0.01,0.8553353993313975
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,low,0.05,0.8556017829400617
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,low,0.1,0.8554838421056912
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,low,0.2,0.8541932711364888
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,low,0.3,0.85260310333515
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_high,0.01,0.8563067166627354
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_high,0.05,0.8573098915757709
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_high,0.1,0.8571553484134924
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_high,0.2,0.8566612169867336
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_high,0.3,0.8560118645768093
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_low,0.01,0.8545159138787892
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_low,0.05,0.8541302337939803
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_low,0.1,0.8543898391937726
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_low,0.2,0.8541732754203166
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_low,0.3,0.8545721730124258
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_matched_high,0.01,0.8556011051191745
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_matched_high,0.05,0.8561406505453747
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_matched_high,0.1,0.8562426625888963
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_matched_high,0.2,0.8554919759563375
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_matched_high,0.3,0.8542285178226223
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_matched_low,0.01,0.8552689728844532
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_matched_low,0.05,0.8547497620848684
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_matched_low,0.1,0.8540516065710668
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_matched_low,0.2,0.8545172695205638
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,deg_matched_low,0.3,0.8565697111669636
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,conf_high,0.01,0.8552113581090424
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,conf_high,0.05,0.8552737176306635
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,conf_high,0.1,0.8554397837480241
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,conf_high,0.2,0.85564313001418
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,conf_high,0.3,0.8556017829400616
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,conf_low,0.01,0.8550696935436204
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,conf_low,0.05,0.854507780028143
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,conf_low,0.1,0.8542278400017351
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,conf_low,0.2,0.8539309544531477
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,conf_low,0.3,0.8530491094789184
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,random,0.01,0.8550907059911232
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,random,0.05,0.8562230057831679
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,random,0.1,0.8556912552971703
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,random,0.2,0.8565514100030095
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,1,random,0.3,0.8569048935956771
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,baseline,,0.8612310854081432
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,high,0.01,0.8616160876720649
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,high,0.05,0.8612683655569383
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,high,0.1,0.8607335648769485
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,high,0.2,0.8590600251064857
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,high,0.3,0.8573478495454534
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,low,0.01,0.8610080823362588
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,low,0.05,0.8612243071992712
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,low,0.1,0.8613998628090525
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,low,0.2,0.8610006263064997
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,low,0.3,0.8598571424698167
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_high,0.01,0.8612365079752405
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_high,0.05,0.8614012184508268
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_high,0.1,0.8611673702447475
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_high,0.2,0.8612175289903994
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_high,0.3,0.8612066838562045
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_low,0.01,0.8611985500055581
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_low,0.05,0.8610406177388438
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_low,0.1,0.860641381236291
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_low,0.2,0.8602428225546256
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_low,0.3,0.8597398794563333
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_matched_high,0.01,0.8609169154269323
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_matched_high,0.05,0.8609111539493911
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_matched_high,0.1,0.8605552979836184
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_matched_high,0.2,0.8607857570852618
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_matched_high,0.3,0.8596958210986663
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_matched_low,0.01,0.8613493651529571
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_matched_low,0.05,0.8613205577652516
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_matched_low,0.1,0.8615096697927767
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_matched_low,0.2,0.8609443671728634
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,deg_matched_low,0.3,0.8612507422138714
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,conf_high,0.01,0.8613951180628422
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,conf_high,0.05,0.8614940799123713
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,conf_high,0.1,0.8614669670768839
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,conf_high,0.2,0.8609979150229511
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,conf_high,0.3,0.8605647874760389
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,conf_low,0.01,0.8610524796043696
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,conf_low,0.05,0.8617218277304659
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,conf_low,0.1,0.8621617334862497
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,conf_low,0.2,0.8620146463537303
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,conf_low,0.3,0.8611375461257115
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,random,0.01,0.861220240273948
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,random,0.05,0.8614978079272508
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,random,0.1,0.8619211070712987
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,random,0.2,0.8602638350021283
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,2,random,0.3,0.8600445599451236
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,baseline,,0.8531318036271551
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,high,0.01,0.8526966426175815
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,high,0.05,0.8519876419695848
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,high,0.1,0.8517110910476128
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,high,0.2,0.8502571652445984
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,high,0.3,0.8468517931073749
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,low,0.01,0.8536340689045601
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,low,0.05,0.853488337413815
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,low,0.1,0.8529792939275382
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,low,0.2,0.8502164959913674
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,low,0.3,0.8469541440613401
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,deg_high,0.01,0.8523353640847113
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,deg_high,0.05,0.8520439011032213
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,deg_high,0.1,0.8511356211143918
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,deg_high,0.2,0.8496017124466893
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,deg_high,0.3,0.8475540155464998
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,deg_low,0.01,0.8531358705524782
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,deg_low,0.05,0.8529806495693125
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,deg_low,0.1,0.8534957934435741
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,deg_low,0.2,0.8537154074110224
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,deg_low,0.3,0.8526295383497501
tolokers,GeneralSheaf,3,4,true,last,masking,mean,auc,3,deg_matched_high,0.01,0.8527583243183157
