dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,baseline,,0.8536272906956883,0.0021923700668454804,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,high,0.01,0.8536054648631209,0.0021532335046779085,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,high,0.05,0.8538056253711069,0.0021800059281700617,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,high,0.1,0.8535529337443638,0.002288920884602159,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,high,0.2,0.8524142624359798,0.002184224560613696,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,high,0.3,0.8510678051346288,0.0022654695142541536,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,low,0.01,0.8535056557374826,0.002185564471698509,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,low,0.05,0.8533093249175092,0.0022215209341539294,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,low,0.1,0.8530883891993308,0.002275434240228261,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,low,0.2,0.8519287732255325,0.0025358926517220796,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,low,0.3,0.8503021386604633,0.002705033406793735,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_high,0.01,0.853637356335863,0.002328478221414046,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_high,0.05,0.8532947178773904,0.002368744361966105,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_high,0.1,0.8530096941943286,0.0024129973457295553,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_high,0.2,0.8517910061302121,0.0024830108180604084,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_high,0.3,0.8506881576557159,0.002558045765033721,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_low,0.01,0.8535474772862222,0.002220525101866315,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_low,0.05,0.8530519224356002,0.0021960867285285763,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_low,0.1,0.8528015015088293,0.0022219701334711224,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_low,0.2,0.8527077927711758,0.0022750621854881674,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_low,0.3,0.8523717630663533,0.0022788402174531317,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_matched_high,0.01,0.8536474219760377,0.002257065829122983,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_matched_high,0.05,0.8536405759850771,0.002280053995427083,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_matched_high,0.1,0.8531849786757547,0.0023450930517792978,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_matched_high,0.2,0.8523201470057942,0.002412494697139591,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_matched_high,0.3,0.8508749650922243,0.0024590193922825587,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_matched_low,0.01,0.8535627282561837,0.002187993609824403,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_matched_low,0.05,0.8532505917376346,0.002258487865792327,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_matched_low,0.1,0.8529235431595671,0.0022446872718285995,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_matched_low,0.2,0.8527492415184273,0.0022204901884675743,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,deg_matched_low,0.3,0.8519936406844364,0.0022786191599452306,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conf_high,0.01,0.8537306244899397,0.002193893878630497,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conf_high,0.05,0.8537613636671738,0.00214563860369253,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conf_high,0.1,0.8537219483825839,0.002133532272010139,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conf_high,0.2,0.8534805763646569,0.0021050994533091377,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conf_high,0.3,0.8528015015088293,0.002143075782956917,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conf_low,0.01,0.853538428377378,0.0021743197149962684,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conf_low,0.05,0.8536456935327754,0.0021631777920040657,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conf_low,0.1,0.853172913463963,0.002265835029627752,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conf_low,0.2,0.8521330345498862,0.002403376300134126,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,conf_low,0.3,0.850724488855269,0.0024164010654742444,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,random,0.01,0.853607566107871,0.0021717015517477285,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,random,0.05,0.8537013765186577,0.0022468108728128464,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,random,0.1,0.8538636807300943,0.0022164163006628615,10
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,random,0.2,0.8531678975893978,0.0023219431298607423,10
