dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,baseline,,0.8484216262820983
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,high,0.01,0.8484572118786756
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,high,0.05,0.8482575936273992
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,high,0.1,0.8482589492691736
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,high,0.2,0.8482582714482862
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,high,0.3,0.8479668084667963
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,low,0.01,0.8481189792559696
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,low,0.05,0.8476509439333674
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,low,0.1,0.8475780781879949
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,low,0.2,0.8464223935753425
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,low,0.3,0.8444048597046329
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,deg_high,0.01,0.8482965683284123
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,deg_high,0.05,0.8484548395055702
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,deg_high,0.1,0.8476123081427979
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,deg_high,0.2,0.8472022265060501
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,deg_high,0.3,0.8466250620206112
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,deg_low,0.01,0.8487896830238404
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,deg_low,0.05,0.8487676538450069
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,deg_low,0.1,0.8484111200583467
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,deg_low,0.2,0.8485575293699791
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,deg_low,0.3,0.8468643327937879
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,deg_matched_high,0.01,0.8485171990271915
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,deg_matched_high,0.05,0.8486405624286595
tolokers,GeneralSheaf,3,4,true,last,masking,zero,auc,0,deg_matched_high,0.1,0.848413492431452
