dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,baseline,,0.46369426846504214,0.002027363307293457,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,high,0.01,0.45662257373332976,0.0022213062315412316,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,high,0.05,0.44919157326221465,0.002415260376784258,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,high,0.1,0.44465131759643556,0.0025033303473155476,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,high,0.2,0.4393271267414093,0.002803281407686684,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,high,0.3,0.4338722825050354,0.002599609351618767,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,low,0.01,0.46380859017372134,0.0020502120912884534,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,low,0.05,0.4640535652637482,0.0021569431488905125,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,low,0.1,0.4634819567203522,0.002034014163397154,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,low,0.2,0.4625347077846527,0.002047739539257081,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,low,0.3,0.4623713880777359,0.0022098708600823713,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_high,0.01,0.45598562657833097,0.002219933224129362,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_high,0.05,0.4499101758003235,0.0022600364537384413,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_high,0.1,0.44692144393920896,0.002471595406628523,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_high,0.2,0.43998039960861207,0.0025748477865020483,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_high,0.3,0.43645272254943845,0.002535723064086166,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_low,0.01,0.46380859315395356,0.0021521466300363314,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_low,0.05,0.46379226446151733,0.0022638108309438712,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_low,0.1,0.46323697566986083,0.00232787190410487,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_low,0.2,0.4618977665901184,0.0021970820098546275,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_low,0.3,0.4598726123571396,0.002399594356989129,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_high,0.01,0.46217540502548216,0.002101226016169488,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_high,0.05,0.461587455868721,0.002272307644521148,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_high,0.1,0.46088518798351286,0.0022576977505263554,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_high,0.2,0.46080352663993834,0.002172720571380033,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_high,0.3,0.45895802676677705,0.002262043610597164,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_low,0.01,0.4634819567203522,0.0020266592911031924,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_low,0.05,0.4628613442182541,0.002157100010757858,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_low,0.1,0.4626490235328674,0.0019760607528468512,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_low,0.2,0.4603135704994202,0.0021284427478039884,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_low,0.3,0.45583863854408263,0.0019978946215481624,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,conf_high,0.01,0.4604605585336685,0.001684668615982151,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,conf_high,0.05,0.45693287551403045,0.0018773533937728993,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,conf_high,0.1,0.45451576113700864,0.002242644873394226,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,conf_high,0.2,0.4475093901157379,0.0023279014266508577,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,conf_high,0.3,0.4422015309333801,0.0024788098772568746,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,conf_low,0.01,0.46338396370410917,0.0020698412577459554,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,conf_low,0.05,0.4632533073425293,0.0020301827372712165,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,conf_low,0.1,0.46273069083690643,0.0020536703272315666,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,conf_low,0.2,0.4605912119150162,0.0022363067724698506,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,conf_low,0.3,0.458778378367424,0.0022637700470272857,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,random,0.01,0.46315531730651854,0.002030209027300766,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,random,0.05,0.4629756659269333,0.0021361427157192,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,random,0.1,0.46196308732032776,0.0020884612390666725,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,random,0.2,0.459333661198616,0.002462728903174262,10
amazon_ratings,GeneralSheaf,5,5,true,last,pruning,,acc,random,0.3,0.4564755856990814,0.0019082436595652507,10
