dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,baseline,,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,high,0.01,0.6487315475940705,0.011474959237952338,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,high,0.05,0.6439536452293396,0.011360793287415558,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,high,0.1,0.6388073801994324,0.011159045183641138,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,high,0.2,0.6320497453212738,0.011844730784376756,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,high,0.3,0.631747978925705,0.012181240597448234,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,low,0.01,0.6529298722743988,0.011380178544189727,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,low,0.05,0.6531657159328461,0.011326886467566275,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,low,0.1,0.6541552603244781,0.011449488340967186,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,low,0.2,0.6574698865413666,0.011365500187182685,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,low,0.3,0.6623962938785553,0.01015985759281671,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_high,0.01,0.6504505455493927,0.011274829595968745,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_high,0.05,0.6467693030834198,0.01153957168773943,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_high,0.1,0.644511479139328,0.010889588259353265,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_high,0.2,0.6428922593593598,0.010013514184130401,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_high,0.3,0.6459877967834473,0.009104092173991732,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_low,0.01,0.6530809283256531,0.011382605263015133,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_low,0.05,0.6539202034473419,0.011195026641480577,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_low,0.1,0.6537488281726838,0.011418488119810255,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_low,0.2,0.6552557587623596,0.011259848772291017,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_low,0.3,0.6545887529850006,0.010149232225768696,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_matched_high,0.01,0.6526482045650482,0.011121006228118709,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_matched_high,0.05,0.6541744709014893,0.011209429696340773,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_matched_high,0.1,0.6560260891914368,0.010701175708904363,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_matched_high,0.2,0.660606175661087,0.009624382100432486,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_matched_high,0.3,0.6670584082603455,0.008527578405839389,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_matched_low,0.01,0.6532319903373718,0.011386835308169956,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_matched_low,0.05,0.6537484884262085,0.011435030472279874,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_matched_low,0.1,0.6555311143398285,0.010712041088243895,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_matched_low,0.2,0.6558952867984772,0.010511673730112494,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,deg_matched_low,0.3,0.6518100917339325,0.010699420614533352,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conf_high,0.01,0.6508637428283691,0.011527308247110834,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conf_high,0.05,0.6461004018783569,0.011192727390076686,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conf_high,0.1,0.6458240985870362,0.011901506615132335,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conf_high,0.2,0.6409810602664947,0.010965650188882629,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conf_high,0.3,0.6425321698188782,0.01040414481894777,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conf_low,0.01,0.6533158659934998,0.011403869463796968,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conf_low,0.05,0.6543045043945312,0.011558822727031544,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conf_low,0.1,0.653745311498642,0.012031289415907179,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conf_low,0.2,0.6540280938148498,0.011923715835930543,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,conf_low,0.3,0.6569763600826264,0.011470426421717413,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,random,0.01,0.6532315313816071,0.011287559540683013,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,random,0.05,0.6538775444030762,0.011048122029161632,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,random,0.1,0.6551200926303864,0.01081168541016653,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,random,0.2,0.6576083481311799,0.00956978654135144,10
citeseer,GeneralSheaf,5,4,true,last,pruning,,acc,random,0.3,0.6579790055751801,0.01038590113556811,10
