dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
cora,GeneralSheaf,5,3,true,last,pruning,,acc,baseline,,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,high,0.01,0.8249496936798095,0.0059483883012189055,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,high,0.05,0.8201207280158996,0.006124105642798856,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,high,0.1,0.8146881341934205,0.0055792805557653095,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,high,0.2,0.8106639862060547,0.00475674870302187,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,high,0.3,0.8078470885753631,0.005131766720433951,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,low,0.01,0.8295774579048156,0.006142922635380956,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,low,0.05,0.8289738297462463,0.0060696639099788365,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,low,0.1,0.8285714149475097,0.005947031795853759,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,low,0.2,0.8281690180301666,0.006130714035892831,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,low,0.3,0.8265593588352204,0.0060549656010885295,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_high,0.01,0.8241448700428009,0.005555650139324792,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_high,0.05,0.819315904378891,0.005260708307948235,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_high,0.1,0.8181086540222168,0.004839019714954946,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_high,0.2,0.8122736394405365,0.003860343847296681,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_high,0.3,0.8070422530174255,0.004696795032103264,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_low,0.01,0.8293762505054474,0.006206846613745528,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_low,0.05,0.8285714209079742,0.0061937878697735345,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_low,0.1,0.8285714149475097,0.00590604556113217,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_low,0.2,0.8287726283073426,0.005848526160703009,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_low,0.3,0.8271629810333252,0.006237098633170777,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_matched_high,0.01,0.8285714209079742,0.005857863230098553,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_matched_high,0.05,0.8273641884326934,0.006147859305557021,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_matched_high,0.1,0.8271629810333252,0.006327318788522999,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_matched_high,0.2,0.82595574259758,0.006281079857199518,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_matched_high,0.3,0.8229376316070557,0.006419737653459302,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_matched_low,0.01,0.8295774579048156,0.00625395624395745,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_matched_low,0.05,0.828370213508606,0.006162662091191383,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_matched_low,0.1,0.8299798667430878,0.0058954111371244755,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_matched_low,0.2,0.8269617617130279,0.006149179426908839,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,deg_matched_low,0.3,0.8251509070396423,0.006990031966390634,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conf_high,0.01,0.8275653898715973,0.006103250018490896,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conf_high,0.05,0.8205231428146362,0.006232876404175572,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conf_high,0.1,0.8169014155864716,0.006022784654579545,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conf_high,0.2,0.8124748468399048,0.005000309895519765,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conf_high,0.3,0.8102615714073181,0.004887716445497771,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conf_low,0.01,0.8295774579048156,0.006292676832005674,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conf_low,0.05,0.8287726283073426,0.006250071068371412,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conf_low,0.1,0.8295774579048156,0.005907756704116823,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conf_low,0.2,0.8275653958320618,0.006273342091648784,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,conf_low,0.3,0.8257545292377472,0.006477496517381122,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,random,0.01,0.8281690120697022,0.006157073797988596,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,random,0.05,0.8285714328289032,0.006335950279318287,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,random,0.1,0.8241448640823364,0.005922468989393094,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,random,0.2,0.8257545351982116,0.0066380065304110095,10
cora,GeneralSheaf,5,3,true,last,pruning,,acc,random,0.3,0.8203219294548034,0.005058669324892038,10
