dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,baseline,,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,high,0.01,0.8027027070522308,0.023884918209062456,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,high,0.05,0.8054054081439972,0.02349952832831214,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,high,0.1,0.8054054081439972,0.024113195649247427,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,high,0.2,0.8,0.024533633150581748,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,high,0.3,0.7972972989082336,0.024548515533255107,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,low,0.05,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,low,0.1,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,low,0.2,0.8135135114192963,0.024607953683793298,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,low,0.3,0.8081081092357636,0.022106058794979292,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_high,0.01,0.8000000059604645,0.022352510706850053,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_high,0.05,0.7945946037769318,0.023930748117780315,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_high,0.1,0.7945946037769318,0.023930748117780315,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_high,0.2,0.7945945978164672,0.024533633150581748,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_high,0.3,0.8000000059604645,0.022996806466672418,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_low,0.05,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_low,0.1,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_low,0.2,0.8081081092357636,0.022106058794979292,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_low,0.3,0.8054054081439972,0.021212342221820734,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_matched_high,0.01,0.808108103275299,0.025767969068462293,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_matched_high,0.05,0.8108108043670654,0.025923411859240443,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_matched_high,0.1,0.8054054021835327,0.025005476475762584,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_matched_high,0.2,0.8081081092357636,0.02490302345761108,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_matched_high,0.3,0.8108108103275299,0.025640086419579076,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_matched_low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_matched_low,0.05,0.8135135114192963,0.025194637470490742,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_matched_low,0.1,0.8135135114192963,0.024607953683793298,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_matched_low,0.2,0.8108108103275299,0.02324952636298441,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,deg_matched_low,0.3,0.8162162125110626,0.02471162877100273,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conf_high,0.01,0.8135135114192963,0.0243093027074173,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conf_high,0.05,0.8081081092357636,0.023390481251938135,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conf_high,0.1,0.8027027070522308,0.023265230389743895,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conf_high,0.2,0.8027027070522308,0.023884918209062456,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conf_high,0.3,0.8027027070522308,0.02478541726945345,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conf_low,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conf_low,0.05,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conf_low,0.1,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conf_low,0.2,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,conf_low,0.3,0.8081081092357636,0.02370071306058405,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,random,0.01,0.8108108103275299,0.02506383104433629,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,random,0.05,0.8135135173797607,0.024903024557313427,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,random,0.1,0.8054054081439972,0.02349952832831214,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,random,0.2,0.8,0.02482958602051581,10
cornell,GeneralSheaf,2,2,true,last,pruning,,acc,random,0.3,0.8162162125110626,0.0250054750584491,10
