dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,baseline,,0.9545870937187699,0.0019660329853818472,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,high,0.01,0.9514050092034724,0.002021445607967282,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,high,0.05,0.9405207774878264,0.002743577829472745,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,high,0.1,0.9257534568691976,0.003551426425148908,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,high,0.2,0.8998591810077488,0.0038265781373671977,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,high,0.3,0.876692989347236,0.00423582281394083,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,low,0.01,0.9544744052260201,0.0019749865745910837,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,low,0.05,0.9541390631503799,0.0019580081202182496,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,low,0.1,0.9529909798985322,0.0019247036335412807,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,low,0.2,0.9480923820985201,0.0021108646040773043,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,low,0.3,0.9407347459926229,0.0020738691584987145,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_high,0.01,0.9534778476249823,0.0018841189816300502,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_high,0.05,0.9494399888178331,0.0019377996529023065,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_high,0.1,0.9435785366466861,0.002272398964231438,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_high,0.2,0.9310153208361397,0.0024800955897107866,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_high,0.3,0.917365015764957,0.0022618217439931746,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_low,0.01,0.9539412440340774,0.0019972398184882182,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_low,0.05,0.9507575729244782,0.0019715015125504978,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_low,0.1,0.9454384836292645,0.0022092484019307908,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_low,0.2,0.9335603066448916,0.002618092218729441,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_low,0.3,0.9187080772498843,0.0025411495670792637,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_matched_high,0.01,0.9536398396475919,0.0020594498302501517,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_matched_high,0.05,0.9495331563714646,0.0018944907489211991,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_matched_high,0.1,0.9439656606893451,0.0022742376429421745,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_matched_high,0.2,0.9375062580004284,0.002224496605442297,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_matched_high,0.3,0.9298611259175585,0.0024532332919252344,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_matched_low,0.01,0.9533841069956137,0.001967287070045324,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_matched_low,0.05,0.9484377386170904,0.0021325548207639213,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_matched_low,0.1,0.9419921362097812,0.0020332905516925975,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_matched_low,0.2,0.9253133956335434,0.002861948852357862,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,deg_matched_low,0.3,0.9061731286716661,0.0021412019344096626,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conf_high,0.01,0.9543795721676875,0.0019698547573440877,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conf_high,0.05,0.9530670052807635,0.0019913039367970673,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conf_high,0.1,0.9497934982820624,0.0022446276738308474,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conf_high,0.2,0.9385982405251914,0.0025394504674222597,10
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,conf_high,0.3,0.9262326787102774,0.00276856653046506,10
