dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,baseline,,0.9506310919890345
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,high,0.01,0.9436951086404712
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,high,0.05,0.9252097294141538
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,high,0.1,0.9083472941415373
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,high,0.2,0.8788788836430095
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,high,0.3,0.8608662681490508
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,low,0.01,0.9509436237181439
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,low,0.05,0.9506485429992892
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,low,0.1,0.949198522692659
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,low,0.2,0.9468600873185093
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,low,0.3,0.9430351431617424
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_high,0.01,0.9494301451924053
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_high,0.05,0.9461509417199716
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_high,0.1,0.9427590999086203
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_high,0.2,0.9307401132094628
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_high,0.3,0.918070679764443
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_low,0.01,0.9496395573154635
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_low,0.05,0.9471773784140523
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_low,0.1,0.9424529140014214
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_low,0.2,0.9341954132399228
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_low,0.3,0.9211087420042643
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_matched_high,0.01,0.948506828104376
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_matched_high,0.05,0.9452974286729616
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_matched_high,0.1,0.9404777769316682
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_matched_high,0.2,0.9394307163163773
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_matched_high,0.3,0.9297565108132806
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_matched_low,0.01,0.9492937100213219
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_matched_low,0.05,0.9450816707279927
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_matched_low,0.1,0.9427019875114225
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_matched_low,0.2,0.9269405523403391
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,deg_matched_low,0.3,0.9092372956645345
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conf_high,0.01,0.9499663671438725
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conf_high,0.05,0.9491747258604935
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conf_high,0.1,0.9462953091684436
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conf_high,0.2,0.9348680703624731
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conf_high,0.3,0.9200061554472535
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conf_low,0.01,0.9504692735303076
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conf_low,0.05,0.9455829906589501
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conf_low,0.1,0.943303254137476
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conf_low,0.2,0.9363418875012692
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,conf_low,0.3,0.9239453243984161
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,random,0.01,0.950566047314448
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,random,0.05,0.9453529546146817
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,random,0.1,0.9416565133516093
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,random,0.2,0.9252382856127525
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,0,random,0.3,0.9145043278505431
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,baseline,,0.9601665053723417
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,high,0.01,0.955209806694955
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,high,0.05,0.9417432814710043
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,high,0.1,0.9242924762401051
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,high,0.2,0.901049033474776
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,high,0.3,0.8766625722722647
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,low,0.01,0.9600548400704733
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,low,0.05,0.9601773617211345
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,low,0.1,0.9584682622397577
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,low,0.2,0.9518210749646393
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,low,0.3,0.945710501501278
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_high,0.01,0.9593631355616765
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_high,0.05,0.9557386659718603
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_high,0.1,0.9507618055038587
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_high,0.2,0.9390943323655675
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_high,0.3,0.9227027965954491
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_low,0.01,0.9596035261420879
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_low,0.05,0.9563156033648477
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_low,0.1,0.9524290304970346
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_low,0.2,0.9427250055832651
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_low,0.3,0.9237558624283482
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_matched_high,0.01,0.9597477604903347
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_matched_high,0.05,0.9533456165165388
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_matched_high,0.1,0.953568947120276
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_matched_high,0.2,0.9414904836348297
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_matched_high,0.3,0.9359537457505149
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_matched_low,0.01,0.95859388570436
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_matched_low,0.05,0.9525531030546663
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_matched_low,0.1,0.9508284945035858
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_matched_low,0.2,0.934458671431053
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,deg_matched_low,0.3,0.9109190054343781
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conf_high,0.01,0.9601634035584009
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conf_high,0.05,0.9583814114494158
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conf_high,0.1,0.9576959105685005
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conf_high,0.2,0.9494032109977916
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conf_high,0.3,0.9382211717412343
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conf_low,0.01,0.9586512692622645
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conf_low,0.05,0.9548825653242016
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conf_low,0.1,0.9452328221543959
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conf_low,0.2,0.9356404625424949
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,conf_low,0.3,0.9197839896771633
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,random,0.01,0.9596283406536142
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,random,0.05,0.9554672572520411
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,random,0.1,0.9472334921462071
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,random,0.2,0.932467306881064
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,1,random,0.3,0.9211425841832305
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,baseline,,0.9615827848149555
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,high,0.01,0.9569652164375897
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,high,0.05,0.9495071679602747
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,high,0.1,0.9384202352814015
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,high,0.2,0.9117114568150063
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,high,0.3,0.8913623654666288
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,low,0.01,0.9613618409235772
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,low,0.05,0.9612442161180953
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,low,0.1,0.9616225229249156
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,low,0.2,0.9580413244553095
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,low,0.3,0.9502288120371505
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_high,0.01,0.9600679680632758
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_high,0.05,0.9562896685682677
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_high,0.1,0.9511300723710459
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_high,0.2,0.9319921986142526
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_high,0.3,0.9165070519249936
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_low,0.01,0.9612855437524538
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_low,0.05,0.958329028371421
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_low,0.1,0.9537321238112344
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_low,0.2,0.9403260750350888
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_low,0.3,0.9200103636990776
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_matched_high,0.01,0.9617830648891545
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_matched_high,0.05,0.9556125311745473
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_matched_high,0.1,0.9532234760037449
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_matched_high,0.2,0.9429344845728709
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_matched_high,0.3,0.9345815338592538
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_matched_low,0.01,0.9607896121401516
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_matched_low,0.05,0.9557428721752165
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_matched_low,0.1,0.9486202133459648
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_matched_low,0.2,0.9373202843977052
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,deg_matched_low,0.3,0.9100106657087133
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conf_high,0.01,0.9613650199723741
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conf_high,0.05,0.9617941915599433
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conf_high,0.1,0.9605003186996418
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conf_high,0.2,0.9477507435000373
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conf_high,0.3,0.931860268089185
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conf_low,0.01,0.9615176143146209
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conf_low,0.05,0.9589076152524404
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conf_low,0.1,0.9548034632557593
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conf_low,0.2,0.9424655748753415
minesweeper,GeneralSheaf,5,6,true,last,pruning,,auc,2,conf_low,0.3,0.923275246813401
