dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,baseline,,0.8907707870006562,0.0013188493490263614,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,high,0.01,0.8878549695014953,0.00129635649788785,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,high,0.05,0.8842292129993439,0.0012607317387412112,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,high,0.1,0.8825811266899108,0.0016217071709387178,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,high,0.2,0.8799442231655121,0.0015120792118371777,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,high,0.3,0.8788286030292511,0.0017879993860398346,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,low,0.01,0.8907707870006562,0.001333393318789215,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,low,0.05,0.8904665291309357,0.0013262338649809174,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,low,0.1,0.8906947195529937,0.001287598888544143,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,low,0.2,0.890872198343277,0.0013374387169077086,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,low,0.3,0.8901876211166382,0.00140139823072447,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_high,0.01,0.8889959335327149,0.001438682344024396,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_high,0.05,0.8856997966766358,0.0015800844478559611,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_high,0.1,0.8817951321601868,0.001631725987313195,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_high,0.2,0.8789553642272949,0.0015692238448888757,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_high,0.3,0.8778143942356109,0.0017498402263648968,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_low,0.01,0.8908214926719665,0.0013243960521179385,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_low,0.05,0.8908975720405579,0.0013654343554431517,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_low,0.1,0.8908468604087829,0.0014127276942373067,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_low,0.2,0.8909736275672913,0.0014525561924067741,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_low,0.3,0.8911764621734619,0.0016321212652529967,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_matched_high,0.01,0.8904411733150482,0.0015328522353845826,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_matched_high,0.05,0.88919877409935,0.0013808566726846022,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_matched_high,0.1,0.8881085097789765,0.0012565672949095793,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_matched_high,0.2,0.8889705896377563,0.0014349441332041654,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_matched_high,0.3,0.889477676153183,0.0012151595720896705,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_matched_low,0.01,0.8908468544483185,0.0013814417687784105,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_matched_low,0.05,0.8907707870006562,0.0014157055838160848,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_matched_low,0.1,0.8909989833831787,0.0013843207775861616,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_matched_low,0.2,0.8898833632469177,0.0013592975194922738,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,deg_matched_low,0.3,0.8904411792755127,0.0014690369608441538,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conf_high,0.01,0.8899594247341156,0.001368228571734076,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conf_high,0.05,0.8890973687171936,0.0012914613427073413,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conf_high,0.1,0.8879310369491578,0.0013349333443282746,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conf_high,0.2,0.8865618646144867,0.0012354915612345448,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conf_high,0.3,0.8845334649085999,0.001364089751005431,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conf_low,0.01,0.8906947195529937,0.0013044638577174663,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conf_low,0.05,0.8903397440910339,0.001434853700159817,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conf_low,0.1,0.8903397560119629,0.0012668594881239754,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conf_low,0.2,0.8899594306945801,0.0013330076659392848,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,conf_low,0.3,0.8895284056663513,0.001209117721300882,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,random,0.01,0.8907961428165436,0.001356457453545967,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,random,0.05,0.8893509030342102,0.001530230841953871,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,random,0.1,0.8892241299152375,0.0017373053300238947,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,random,0.2,0.8885649144649506,0.0014911005876847407,10
pubmed,GeneralSheaf,3,4,true,last,pruning,,acc,random,0.3,0.886942183971405,0.0014232483912621314,10
