dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
questions,GeneralSheaf,5,4,true,last,pruning,,auc,baseline,,0.7666902211683434,0.004547778103495883,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,high,0.01,0.7442660508093806,0.0038747888004692236,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,high,0.05,0.7394147662597638,0.0040553058732785705,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,high,0.1,0.7387492178643252,0.0038554428185928373,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,high,0.2,0.7400768513238007,0.004123775710347975,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,high,0.3,0.7389299575857348,0.00419713881778212,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,low,0.01,0.7668108259121837,0.004560863665002515,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,low,0.05,0.7669030082496554,0.004624515999633897,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,low,0.1,0.7670551754870021,0.004675393587135208,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,low,0.2,0.7670944496650958,0.0047322341507015616,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,low,0.3,0.7669897762457025,0.0046388112611922315,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_high,0.01,0.7488789888919417,0.00407134006193344,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_high,0.05,0.738474344795421,0.004561674908044528,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_high,0.1,0.7357675088719006,0.00469829855915969,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_high,0.2,0.7337004195248771,0.004810517006597949,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_high,0.3,0.7334748642951312,0.004671704056416583,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_low,0.01,0.7666669360368867,0.004557681591305873,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_low,0.05,0.7666351080213063,0.0046003673240233205,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_low,0.1,0.7665503025797201,0.004590164090760467,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_low,0.2,0.7663275411039715,0.004780098451727409,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_low,0.3,0.7663455273383837,0.004765625140970642,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_matched_high,0.01,0.7657581809659925,0.004487373498353153,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_matched_high,0.05,0.7659117566247757,0.004605302795696406,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_matched_high,0.1,0.7654889877605868,0.004556718649544319,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_matched_high,0.2,0.7659227700186327,0.004704057928390431,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_matched_high,0.3,0.766272912823331,0.004587216943914977,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_matched_low,0.01,0.7666193498634294,0.004529470698668798,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_matched_low,0.05,0.7666779609751817,0.004571709627224044,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_matched_low,0.1,0.7663179245871131,0.004678598879228055,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_matched_low,0.2,0.7659661193833422,0.004771551268176911,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,deg_matched_low,0.3,0.7653543565245701,0.004585688994448553,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,conf_high,0.01,0.7639185401365476,0.00444422016947389,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,conf_high,0.05,0.762692867153534,0.004414324048824711,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,conf_high,0.1,0.7607919022694056,0.004535003473849216,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,conf_high,0.2,0.7586701153751134,0.004667938535329938,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,conf_high,0.3,0.7576196407832672,0.0046023831853725045,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,conf_low,0.01,0.7646582500017317,0.004498173553088254,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,conf_low,0.05,0.7628267710899566,0.004143063274547691,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,conf_low,0.1,0.7609158664447057,0.004044520088437528,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,conf_low,0.2,0.7560979222320479,0.004300150695665341,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,conf_low,0.3,0.7530975343389309,0.004470681947092284,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,random,0.01,0.766385782793708,0.004450073626505326,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,random,0.05,0.7657532514909642,0.004522227250527367,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,random,0.1,0.7657008512868586,0.00439352109845609,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,random,0.2,0.7628886377332265,0.004146502709488717,10
questions,GeneralSheaf,5,4,true,last,pruning,,auc,random,0.3,0.7588957975936774,0.0042090750579316825,10
