dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,baseline,,0.7659956269668837
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,high,0.01,0.7433796111371502
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,high,0.05,0.7377796351495813
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,high,0.1,0.7363586302755196
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,high,0.2,0.7338405574578225
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,high,0.3,0.7326742228861557
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,low,0.01,0.7659936644124227
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,low,0.05,0.7668240558381378
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,low,0.1,0.7662784656980114
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,low,0.2,0.7665541468775758
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,low,0.3,0.7667353945542577
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,deg_high,0.01,0.7500966269461036
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,deg_high,0.05,0.7359341412900678
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,deg_high,0.1,0.7327685409446583
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,deg_high,0.2,0.7310645818950887
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,deg_high,0.3,0.729920643533152
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,deg_low,0.01,0.765803758407237
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,deg_low,0.05,0.7659354804448765
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,deg_low,0.1,0.7663428836620805
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,deg_low,0.2,0.7660094802924899
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,deg_low,0.3,0.7666013636290172
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,deg_matched_high,0.01,0.7663242971168922
questions,GeneralSheaf,5,4,true,last,pruning,,auc,0,deg_matched_high,0.05,0.7659270530051326
