dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,baseline,,0.8709463953971863,0.0021164231955113242,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,high,0.01,0.863159054517746,0.0022697707809539685,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,high,0.05,0.8419589698314667,0.002758384279488431,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,high,0.1,0.8230972826480866,0.0032349164993347437,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,high,0.2,0.7892124474048614,0.003648354991066881,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,high,0.3,0.758438116312027,0.0036569824007727037,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,low,0.01,0.8702625155448913,0.0021412125298557972,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,low,0.05,0.8675490915775299,0.0022324025358299083,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,low,0.1,0.8642841339111328,0.0019410176174548513,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,low,0.2,0.856496798992157,0.0019803474212927016,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,low,0.3,0.8426649034023285,0.0016237434003744855,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_high,0.01,0.8638429343700409,0.002042419660757606,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_high,0.05,0.8442311882972717,0.002147345624100381,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_high,0.1,0.826560789346695,0.0018356088484196506,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_high,0.2,0.7954114317893982,0.001901346713846653,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_high,0.3,0.7709905087947846,0.0017608188366902938,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_low,0.01,0.8694021761417389,0.002211551990893398,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_low,0.05,0.8636443912982941,0.0021523241555424576,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_low,0.1,0.8553276002407074,0.001959729672247047,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_low,0.2,0.8388925611972808,0.001922691553351294,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_low,0.3,0.8216192364692688,0.0021740880279553553,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_high,0.01,0.8670196413993836,0.0021351491212211193,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_high,0.05,0.8558570504188537,0.0016682140831607093,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_high,0.1,0.8448709428310395,0.0017894269322234035,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_high,0.2,0.8245312094688415,0.0021603902708304157,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_high,0.3,0.8081623554229737,0.0019615699860432195,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_low,0.01,0.8690271258354187,0.002189002037248291,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_low,0.05,0.8604235649108887,0.0020314896735180122,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_low,0.1,0.8512022972106934,0.002035131129254316,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_low,0.2,0.8212000846862793,0.0026859880595615066,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,deg_matched_low,0.3,0.792675930261612,0.0022982691265027205,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conf_high,0.01,0.8688506484031677,0.0020551148887624003,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conf_high,0.05,0.8588572680950165,0.002295516253788818,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conf_high,0.1,0.8467019617557525,0.0026166388982343932,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conf_high,0.2,0.8224134087562561,0.0028168372397973747,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conf_high,0.3,0.7931833267211914,0.0033620638786436272,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conf_low,0.01,0.8696668863296508,0.0021283018558936164,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conf_low,0.05,0.8614604055881501,0.0021670968119166635,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conf_low,0.1,0.8518199920654297,0.0019513328310668944,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conf_low,0.2,0.8285682737827301,0.0013873400854283215,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,conf_low,0.3,0.8035296738147736,0.0016193612287031453,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,random,0.01,0.8687182843685151,0.002064374821854021,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,random,0.05,0.8595852673053741,0.0021432181028099868,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,random,0.1,0.8476726353168488,0.0019650511699994375,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,random,0.2,0.8237591028213501,0.0013041621681428566,10
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,random,0.3,0.7999779462814331,0.0023452747520601976,10
