dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,baseline,,0.859695553779602
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,high,0.01,0.853298008441925
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,high,0.05,0.8268254995346069
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,high,0.1,0.8056474924087524
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,high,0.2,0.7648356556892395
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,high,0.3,0.7361570596694946
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,low,0.01,0.8577101230621338
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,low,0.05,0.8552834987640381
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,low,0.1,0.8526362180709839
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,low,0.2,0.8440326452255249
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,low,0.3,0.8318994045257568
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_high,0.01,0.8537392616271973
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_high,0.05,0.8323405981063843
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_high,0.1,0.8162364959716797
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_high,0.2,0.7871167063713074
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_high,0.3,0.7588793039321899
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_low,0.01,0.8572689294815063
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_low,0.05,0.8513125777244568
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_low,0.1,0.8438120484352112
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_low,0.2,0.828149139881134
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_low,0.3,0.8098389506340027
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_matched_high,0.01,0.8559452891349792
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_matched_high,0.05,0.847562313079834
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_matched_high,0.1,0.8332230448722839
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_matched_high,0.2,0.8111625909805298
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_matched_high,0.3,0.8071917295455933
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_matched_low,0.01,0.8574895262718201
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_matched_low,0.05,0.8466799259185791
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_matched_low,0.1,0.841164767742157
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_matched_low,0.2,0.8098389506340027
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,deg_matched_low,0.3,0.7840282320976257
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,conf_high,0.01,0.8574895262718201
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,conf_high,0.05,0.84315025806427
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,conf_high,0.1,0.8296933770179749
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,conf_high,0.2,0.8065298795700073
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,conf_high,0.3,0.7718949913978577
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,conf_low,0.01,0.8577101230621338
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,conf_low,0.05,0.847562313079834
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,conf_low,0.1,0.8382969498634338
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,conf_low,0.2,0.8171188831329346
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,conf_low,0.3,0.7935142517089844
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,random,0.01,0.8570483326911926
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,random,0.05,0.8473417162895203
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,random,0.1,0.8347672820091248
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,random,0.2,0.8226340413093567
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,0,random,0.3,0.7849106788635254
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,baseline,,0.8740348815917969
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,high,0.01,0.8665342926979065
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,high,0.05,0.8466799259185791
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,high,0.1,0.8299139738082886
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,high,0.2,0.7983675003051758
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,high,0.3,0.7626296281814575
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,low,0.01,0.8731524348258972
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,low,0.05,0.8685197234153748
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,low,0.1,0.866093099117279
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,low,0.2,0.8544010519981384
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,low,0.3,0.8387381434440613
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_high,0.01,0.8694021701812744
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_high,0.05,0.8528568148612976
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_high,0.1,0.8334436416625977
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_high,0.2,0.8023384213447571
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_high,0.3,0.7718949913978577
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_low,0.01,0.8729318380355835
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_low,0.05,0.864769458770752
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_low,0.1,0.8550629019737244
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_low,0.2,0.8341054320335388
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_low,0.3,0.8122656345367432
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_matched_high,0.01,0.8713876008987427
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_matched_high,0.05,0.86256343126297
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_matched_high,0.1,0.8457974791526794
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_matched_high,0.2,0.8243988752365112
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_matched_high,0.3,0.807412326335907
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_matched_low,0.01,0.8718287944793701
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_matched_low,0.05,0.8627840280532837
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_matched_low,0.1,0.8526362180709839
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_matched_low,0.2,0.821751594543457
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,deg_matched_low,0.3,0.7928524017333984
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,conf_high,0.01,0.8713876008987427
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,conf_high,0.05,0.8566070795059204
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,conf_high,0.1,0.84315025806427
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,conf_high,0.2,0.81535404920578
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,conf_high,0.3,0.7840282320976257
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,conf_low,0.01,0.8727112412452698
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,conf_low,0.05,0.8643282651901245
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,conf_low,0.1,0.8555040955543518
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,conf_low,0.2,0.8321200013160706
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,conf_low,0.3,0.8093977570533752
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,random,0.01,0.8705052137374878
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,random,0.05,0.860357403755188
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,random,0.1,0.8502095937728882
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,random,0.2,0.8266049027442932
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,1,random,0.3,0.7908669710159302
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,baseline,,0.8716081976890564
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,high,0.01,0.8630046248435974
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,high,0.05,0.8402823805809021
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,high,0.1,0.8188837170600891
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,high,0.2,0.7888815402984619
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,high,0.3,0.7584381103515625
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,low,0.01,0.8713876008987427
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,low,0.05,0.8698433637619019
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,low,0.1,0.8665342926979065
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,low,0.2,0.8572689294815063
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,low,0.3,0.8449150919914246
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,deg_high,0.01,0.8621222376823425
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,deg_high,0.05,0.8416060209274292
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,deg_high,0.1,0.8191043734550476
roman_empire,GeneralSheaf,5,5,true,last,pruning,,acc,2,deg_high,0.2,0.792411208152771
