dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,strategy,pct,mean,se,n_folds
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,baseline,,0.8536273245867327,0.002192224412336704,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,high,0.01,0.8527088095025068,0.0022432404087365417,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,high,0.05,0.8512982642362721,0.002160379000283175,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,high,0.1,0.8500053208939645,0.0022548036902349275,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,high,0.2,0.8468930723994047,0.0020512904740227827,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,high,0.3,0.844295459413441,0.002113762637414625,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,low,0.01,0.8534659693245379,0.002182794019388805,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,low,0.05,0.8530618186205532,0.002199156645312825,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,low,0.1,0.8525974774217863,0.002190715122997144,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,low,0.2,0.8511234881205111,0.002331078395410124,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,low,0.3,0.8497063002095822,0.0023576464199218895,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_high,0.01,0.8524938724991798,0.002301861818289026,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_high,0.05,0.8497965181696665,0.002160876968074349,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_high,0.1,0.8479481683923987,0.0021325335160557826,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_high,0.2,0.8448290061247896,0.002073058786958023,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_high,0.3,0.8424007805785336,0.002083222767314252,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_low,0.01,0.853486066713843,0.0022389284256229556,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_low,0.05,0.8526804088073335,0.0022059504098060744,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_low,0.1,0.8521841083537357,0.0022303670332801204,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_low,0.2,0.8517961236779102,0.002255985578121501,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_low,0.3,0.8515635294404724,0.0022588728486438495,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_matched_high,0.01,0.853228664231934,0.002196640859983371,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_matched_high,0.05,0.8524305301372722,0.0022384455851728272,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_matched_high,0.1,0.8514535191104822,0.002154687291952256,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_matched_high,0.2,0.8504996556669895,0.0020866495778249943,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_matched_high,0.3,0.8490851451485648,0.002113948316821021,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_matched_low,0.01,0.853523245189505,0.002176005110385527,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_matched_low,0.05,0.8528849073689976,0.0022677915524092077,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_matched_low,0.1,0.8519364664926024,0.0022384931643060083,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_matched_low,0.2,0.8512618652546301,0.002293656574618126,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,deg_matched_low,0.3,0.8508350753330134,0.0023307483197088294,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conf_high,0.01,0.8537397411808725,0.0021987731518440844,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conf_high,0.05,0.8537255069422415,0.0021568342230628324,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conf_high,0.1,0.8536666720892339,0.0021304902444380827,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conf_high,0.2,0.8536351873090238,0.0021297446299434857,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conf_high,0.3,0.8522462984201351,0.0021556462338926828,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conf_low,0.01,0.8535246347223238,0.0021655210085624417,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conf_low,0.05,0.852471334954681,0.00221055493220548,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conf_low,0.1,0.8509353250422282,0.0022162771148534115,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conf_low,0.2,0.849592426300535,0.002150115003316975,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,conf_low,0.3,0.8469439428569879,0.0020383380348214537,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,random,0.01,0.8535168397821213,0.0021586575907678895,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,random,0.05,0.8529286945983097,0.002130461383879221,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,random,0.1,0.8531048941379339,0.002316333472922336,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,random,0.2,0.8518929842826892,0.00246003299684633,10
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,random,0.3,0.8512271947162506,0.00208560694538001,10
