dataset,model,d,layers,normalised,conviction_score,intervention,mode,metric,fold,strategy,pct,value
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,baseline,,0.8484229819238724
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,high,0.01,0.8483955301779416
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,high,0.05,0.8476485715602623
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,high,0.1,0.845670690211453
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,high,0.2,0.8423785141623896
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,high,0.3,0.839493030645638
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,low,0.01,0.8480762765400768
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,low,0.05,0.8472266280579889
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,low,0.1,0.8471744358496757
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,low,0.2,0.8446973394174537
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,low,0.3,0.8430512513929219
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_high,0.01,0.84607128235578
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_high,0.05,0.8442452328857004
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_high,0.1,0.8426032117864919
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_high,0.2,0.8382959989588672
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_high,0.3,0.8371572598683945
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_low,0.01,0.8487873106507352
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_low,0.05,0.8479078380496111
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_low,0.1,0.8477675291259635
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_low,0.2,0.8476966968432524
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_low,0.3,0.845827266836393
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_matched_high,0.01,0.8480257788839815
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_matched_high,0.05,0.8473937109066803
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_matched_high,0.1,0.8461885453692631
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_matched_high,0.2,0.8435989306697684
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_matched_high,0.3,0.8426150736520176
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_matched_low,0.01,0.8483796013870927
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_matched_low,0.05,0.8480135781080121
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_matched_low,0.1,0.8481616819718623
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_matched_low,0.2,0.8449925304138233
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,deg_matched_low,0.3,0.8445356791358597
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conf_high,0.01,0.8484860192663808
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conf_high,0.05,0.8486697087268085
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conf_high,0.1,0.8485697301459483
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conf_high,0.2,0.848129485479721
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conf_high,0.3,0.8462119301898712
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conf_low,0.01,0.8486344620406747
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conf_low,0.05,0.8467989230781744
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conf_low,0.1,0.8452046883515125
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conf_low,0.2,0.8437629633244674
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,conf_low,0.3,0.8398075395372924
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,random,0.01,0.8484751741321858
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,random,0.05,0.847059884119741
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,random,0.1,0.8466464133785575
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,random,0.2,0.8459740150584689
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,0,random,0.3,0.844731230461813
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,baseline,,0.855104262408867
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,high,0.01,0.8555604358659433
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,high,0.05,0.8534049654446912
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,high,0.1,0.8513389673805476
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,high,0.2,0.8478142987671794
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,high,0.3,0.8426635378454516
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,low,0.01,0.854791786979874
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,low,0.05,0.8544166131188167
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,low,0.1,0.8543440862838877
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,low,0.2,0.852592936021842
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,low,0.3,0.8500555135306604
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_high,0.01,0.8539133311100808
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_high,0.05,0.850732317686516
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_high,0.1,0.8479247835717907
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_high,0.2,0.8444787421813362
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_high,0.3,0.8432484972710932
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_low,0.01,0.8546440220264677
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_low,0.05,0.8538225031111979
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_low,0.1,0.8535039272942203
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_low,0.2,0.850799083043904
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_low,0.3,0.8506509791800536
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_matched_high,0.01,0.8543512034032031
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_matched_high,0.05,0.8535310401297078
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_matched_high,0.1,0.852813905631065
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_matched_high,0.2,0.8513989545290637
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_matched_high,0.3,0.8518846131947325
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_matched_low,0.01,0.8553577674206746
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_matched_low,0.05,0.853888251737255
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_matched_low,0.1,0.8526349609168477
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_matched_low,0.2,0.8530955402096907
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,deg_matched_low,0.3,0.8526695297820941
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conf_high,0.01,0.8551700110349241
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conf_high,0.05,0.8549944554251427
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conf_high,0.1,0.8546521558771139
tolokers,GeneralSheaf,3,4,true,last,pruning,,auc,1,conf_high,0.2,0.8544332197305526
