dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,0,degree,0.003719526274559925
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,0,degree,0.5585313101166415
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,0,degree,0.5456980190482962
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,0,degree,0.3497278717679732
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,0,degree,0.21897209015768013
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,0,degree,0.13785474691834892
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,0,betweenness,0.008570510303296265
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,0,betweenness,0.2575329007787176
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,0,betweenness,0.3439980099406375
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,0,betweenness,0.3084424043559518
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,0,betweenness,0.2805978657744366
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,0,betweenness,0.266294913465965
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,0,confidence,0.025373413160980275
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,0,confidence,0.15586719177307418
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,0,confidence,0.2720089528437039
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,0,confidence,0.34770158590636213
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,0,confidence,0.36948185335448025
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,0,confidence,0.37593859742713964
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,0,saliency,0.005831558450902526
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,0,saliency,0.21027136959123613
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,0,saliency,0.5819584012654557
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,0,saliency,0.8251359584075252
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,0,saliency,0.8999623113082326
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,0,saliency,0.9230721891558434
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,0,cohens_d_train,0.046175584
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,0,cohens_d_train,0.05795354
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,0,cohens_d_train,0.031161204
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,0,cohens_d_train,0.02062219
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,0,cohens_d_train,0.019582765
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,0,cohens_d_train,0.020541582
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,0,cohens_d_test,0.032271456
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,0,cohens_d_test,0.038284373
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,0,cohens_d_test,0.019644668
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,0,cohens_d_test,0.0044536632
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,0,cohens_d_test,0.00065972615
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,0,cohens_d_test,0.002931196
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,1,degree,0.002897930303333185
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,1,degree,0.5573178151790633
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,1,degree,0.5357794085802546
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,1,degree,0.35001515751273043
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,1,degree,0.21611062890582777
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,1,degree,0.13646529859583578
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,1,betweenness,-0.002106190075818947
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,1,betweenness,0.25762247390202864
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,1,betweenness,0.34094411482916764
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,1,betweenness,0.31036577831133866
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,1,betweenness,0.2794130715061347
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,1,betweenness,0.26730529808020403
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,1,confidence,0.029620395254058785
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,1,confidence,0.16078087697240226
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,1,confidence,0.29783298992424223
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,1,confidence,0.3872683548988747
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,1,confidence,0.41865316638091155
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,1,confidence,0.4298879821045688
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,1,saliency,-0.005605374492654251
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,1,saliency,0.22916858538052967
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,1,saliency,0.601075384824485
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,1,saliency,0.8413352355368151
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,1,saliency,0.9123771480755792
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,1,saliency,0.9296871825681303
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,1,cohens_d_train,0.027834931
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,1,cohens_d_train,0.0565293
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,1,cohens_d_train,0.060607333
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,1,cohens_d_train,0.050533928
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,1,cohens_d_train,0.051616292
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,1,cohens_d_train,0.04830728
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,1,cohens_d_test,0.042352773
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,1,cohens_d_test,0.08202747
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,1,cohens_d_test,0.058154535
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,1,cohens_d_test,0.033253495
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,1,cohens_d_test,0.030430313
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,1,cohens_d_test,0.029540401
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,2,degree,0.0008943207842385154
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,2,degree,0.5614048120403706
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,2,degree,0.5396987233858135
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,2,degree,0.3574977092131968
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,2,degree,0.22276168350713765
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,2,degree,0.15730222627342821
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,2,betweenness,0.005891130421381768
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,2,betweenness,0.25372054508916875
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,2,betweenness,0.34092148595341776
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,2,betweenness,0.31172177112139154
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,2,betweenness,0.2834175014096181
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,2,betweenness,0.27359489221610017
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,2,confidence,0.031162097041422854
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,2,confidence,0.1556784550719635
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,2,confidence,0.2842520464808674
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,2,confidence,0.3674254487245028
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,2,confidence,0.4034737738347775
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,2,confidence,0.41610061154445693
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,2,saliency,0.016945749400002725
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,2,saliency,0.2213092460865606
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,2,saliency,0.5924567533818819
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,2,saliency,0.8304849254280631
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,2,saliency,0.9043945278029067
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,2,saliency,0.9212498748144115
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,2,cohens_d_train,0.000299698
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,2,cohens_d_train,0.06354216
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,2,cohens_d_train,0.049966287
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,2,cohens_d_train,0.025239846
amazon_ratings,BundleSheaf,false,5,5,epoch-0,4,2,cohens_d_train,0.012297241
amazon_ratings,BundleSheaf,false,5,5,epoch-0,5,2,cohens_d_train,0.009242883
amazon_ratings,BundleSheaf,false,5,5,epoch-0,0,2,cohens_d_test,0.023826974
amazon_ratings,BundleSheaf,false,5,5,epoch-0,1,2,cohens_d_test,0.042392004
amazon_ratings,BundleSheaf,false,5,5,epoch-0,2,2,cohens_d_test,0.015900744
amazon_ratings,BundleSheaf,false,5,5,epoch-0,3,2,cohens_d_test,0.032070264
