dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
citeseer,BundleSheaf,false,5,4,epoch-0,0,0,degree,-0.024284396252533622
citeseer,BundleSheaf,false,5,4,epoch-0,1,0,degree,0.7974566084670814
citeseer,BundleSheaf,false,5,4,epoch-0,2,0,degree,0.8790799767100085
citeseer,BundleSheaf,false,5,4,epoch-0,3,0,degree,0.8077737824650757
citeseer,BundleSheaf,false,5,4,epoch-0,4,0,degree,0.7531054444997043
citeseer,BundleSheaf,false,5,4,epoch-0,0,0,betweenness,-0.02409024272699757
citeseer,BundleSheaf,false,5,4,epoch-0,1,0,betweenness,0.6610380508149468
citeseer,BundleSheaf,false,5,4,epoch-0,2,0,betweenness,0.752135039336771
citeseer,BundleSheaf,false,5,4,epoch-0,3,0,betweenness,0.7066372503079528
citeseer,BundleSheaf,false,5,4,epoch-0,4,0,betweenness,0.6685754606437657
citeseer,BundleSheaf,false,5,4,epoch-0,0,0,confidence,-0.04700634342419622
citeseer,BundleSheaf,false,5,4,epoch-0,1,0,confidence,0.5824416797410301
citeseer,BundleSheaf,false,5,4,epoch-0,2,0,confidence,0.8791145594263646
citeseer,BundleSheaf,false,5,4,epoch-0,3,0,confidence,0.9303382888220567
citeseer,BundleSheaf,false,5,4,epoch-0,4,0,confidence,0.9435255289120477
citeseer,BundleSheaf,false,5,4,epoch-0,0,0,saliency,-0.03587847877367415
citeseer,BundleSheaf,false,5,4,epoch-0,1,0,saliency,0.5816326795701018
citeseer,BundleSheaf,false,5,4,epoch-0,2,0,saliency,0.8965988005948435
citeseer,BundleSheaf,false,5,4,epoch-0,3,0,saliency,0.9614513307045639
citeseer,BundleSheaf,false,5,4,epoch-0,4,0,saliency,0.9824555448900887
citeseer,BundleSheaf,false,5,4,epoch-0,0,0,cohens_d_train,0.09976495
citeseer,BundleSheaf,false,5,4,epoch-0,1,0,cohens_d_train,0.2171861
citeseer,BundleSheaf,false,5,4,epoch-0,2,0,cohens_d_train,0.23670538
citeseer,BundleSheaf,false,5,4,epoch-0,3,0,cohens_d_train,0.24642539
citeseer,BundleSheaf,false,5,4,epoch-0,4,0,cohens_d_train,0.24363592
citeseer,BundleSheaf,false,5,4,epoch-0,0,0,cohens_d_test,0.104456924
citeseer,BundleSheaf,false,5,4,epoch-0,1,0,cohens_d_test,0.13464032
citeseer,BundleSheaf,false,5,4,epoch-0,2,0,cohens_d_test,0.089813046
citeseer,BundleSheaf,false,5,4,epoch-0,3,0,cohens_d_test,0.06253293
citeseer,BundleSheaf,false,5,4,epoch-0,4,0,cohens_d_test,0.061042096
citeseer,BundleSheaf,false,5,4,epoch-0,0,1,degree,0.011278182083772542
citeseer,BundleSheaf,false,5,4,epoch-0,1,1,degree,0.8086993435771533
citeseer,BundleSheaf,false,5,4,epoch-0,2,1,degree,0.8810958020937619
citeseer,BundleSheaf,false,5,4,epoch-0,3,1,degree,0.8077560099830283
citeseer,BundleSheaf,false,5,4,epoch-0,4,1,degree,0.7521974369369994
citeseer,BundleSheaf,false,5,4,epoch-0,0,1,betweenness,0.002581418235200178
citeseer,BundleSheaf,false,5,4,epoch-0,1,1,betweenness,0.678758876758326
citeseer,BundleSheaf,false,5,4,epoch-0,2,1,betweenness,0.7533497091391869
citeseer,BundleSheaf,false,5,4,epoch-0,3,1,betweenness,0.7081079806390546
citeseer,BundleSheaf,false,5,4,epoch-0,4,1,betweenness,0.6693347437459298
citeseer,BundleSheaf,false,5,4,epoch-0,0,1,confidence,0.013776218584916042
citeseer,BundleSheaf,false,5,4,epoch-0,1,1,confidence,0.6135515909678873
citeseer,BundleSheaf,false,5,4,epoch-0,2,1,confidence,0.8793370218533609
citeseer,BundleSheaf,false,5,4,epoch-0,3,1,confidence,0.9343813154598671
citeseer,BundleSheaf,false,5,4,epoch-0,4,1,confidence,0.9485623526049008
citeseer,BundleSheaf,false,5,4,epoch-0,0,1,saliency,0.013105921789275376
citeseer,BundleSheaf,false,5,4,epoch-0,1,1,saliency,0.6212409317215141
citeseer,BundleSheaf,false,5,4,epoch-0,2,1,saliency,0.9094702459932604
citeseer,BundleSheaf,false,5,4,epoch-0,3,1,saliency,0.9682862695856066
citeseer,BundleSheaf,false,5,4,epoch-0,4,1,saliency,0.9811953219986363
citeseer,BundleSheaf,false,5,4,epoch-0,0,1,cohens_d_train,0.022354936
citeseer,BundleSheaf,false,5,4,epoch-0,1,1,cohens_d_train,0.3414445
citeseer,BundleSheaf,false,5,4,epoch-0,2,1,cohens_d_train,0.37857512
citeseer,BundleSheaf,false,5,4,epoch-0,3,1,cohens_d_train,0.39718315
citeseer,BundleSheaf,false,5,4,epoch-0,4,1,cohens_d_train,0.659842
citeseer,BundleSheaf,false,5,4,epoch-0,0,1,cohens_d_test,0.043979965
citeseer,BundleSheaf,false,5,4,epoch-0,1,1,cohens_d_test,0.23698089
citeseer,BundleSheaf,false,5,4,epoch-0,2,1,cohens_d_test,0.33407456
citeseer,BundleSheaf,false,5,4,epoch-0,3,1,cohens_d_test,0.48777667
citeseer,BundleSheaf,false,5,4,epoch-0,4,1,cohens_d_test,0.6870607
citeseer,BundleSheaf,false,5,4,epoch-0,0,2,degree,-0.015818681795897103
citeseer,BundleSheaf,false,5,4,epoch-0,1,2,degree,0.8100236652932714
citeseer,BundleSheaf,false,5,4,epoch-0,2,2,degree,0.8800821110457374
citeseer,BundleSheaf,false,5,4,epoch-0,3,2,degree,0.8073214418061823
citeseer,BundleSheaf,false,5,4,epoch-0,4,2,degree,0.756902754759679
citeseer,BundleSheaf,false,5,4,epoch-0,0,2,betweenness,-0.0005983481838257171
citeseer,BundleSheaf,false,5,4,epoch-0,1,2,betweenness,0.6776585820948917
citeseer,BundleSheaf,false,5,4,epoch-0,2,2,betweenness,0.7518124842843854
citeseer,BundleSheaf,false,5,4,epoch-0,3,2,betweenness,0.706478053737997
citeseer,BundleSheaf,false,5,4,epoch-0,4,2,betweenness,0.6722137507105692
citeseer,BundleSheaf,false,5,4,epoch-0,0,2,confidence,-0.007175904113558406
citeseer,BundleSheaf,false,5,4,epoch-0,1,2,confidence,0.617296974836879
citeseer,BundleSheaf,false,5,4,epoch-0,2,2,confidence,0.8772248878674779
citeseer,BundleSheaf,false,5,4,epoch-0,3,2,confidence,0.9256965923476719
citeseer,BundleSheaf,false,5,4,epoch-0,4,2,confidence,0.9364973230237336
citeseer,BundleSheaf,false,5,4,epoch-0,0,2,saliency,0.0009167525950693031
citeseer,BundleSheaf,false,5,4,epoch-0,1,2,saliency,0.6193534134658447
citeseer,BundleSheaf,false,5,4,epoch-0,2,2,saliency,0.9039947430275401
citeseer,BundleSheaf,false,5,4,epoch-0,3,2,saliency,0.9668870831309285
citeseer,BundleSheaf,false,5,4,epoch-0,4,2,saliency,0.9848232304737217
citeseer,BundleSheaf,false,5,4,epoch-0,0,2,cohens_d_train,0.010325971
citeseer,BundleSheaf,false,5,4,epoch-0,1,2,cohens_d_train,0.0748469
citeseer,BundleSheaf,false,5,4,epoch-0,2,2,cohens_d_train,0.058022868
citeseer,BundleSheaf,false,5,4,epoch-0,3,2,cohens_d_train,0.043820597
citeseer,BundleSheaf,false,5,4,epoch-0,4,2,cohens_d_train,0.041501176
citeseer,BundleSheaf,false,5,4,epoch-0,0,2,cohens_d_test,0.07806886
citeseer,BundleSheaf,false,5,4,epoch-0,1,2,cohens_d_test,0.21060835
citeseer,BundleSheaf,false,5,4,epoch-0,2,2,cohens_d_test,0.19394284
citeseer,BundleSheaf,false,5,4,epoch-0,3,2,cohens_d_test,0.17688854
citeseer,BundleSheaf,false,5,4,epoch-0,4,2,cohens_d_test,0.105472624
citeseer,BundleSheaf,false,5,4,epoch-0,0,3,degree,-0.009898810298740152
citeseer,BundleSheaf,false,5,4,epoch-0,1,3,degree,0.7982515578317434
citeseer,BundleSheaf,false,5,4,epoch-0,2,3,degree,0.8807849700817229
citeseer,BundleSheaf,false,5,4,epoch-0,3,3,degree,0.8071750079073376
citeseer,BundleSheaf,false,5,4,epoch-0,4,3,degree,0.7551409608119322
citeseer,BundleSheaf,false,5,4,epoch-0,0,3,betweenness,-0.0073397383762923785
citeseer,BundleSheaf,false,5,4,epoch-0,1,3,betweenness,0.6626401459620387
citeseer,BundleSheaf,false,5,4,epoch-0,2,3,betweenness,0.749700540453118
citeseer,BundleSheaf,false,5,4,epoch-0,3,3,betweenness,0.7061392107395216
citeseer,BundleSheaf,false,5,4,epoch-0,4,3,betweenness,0.670202093138143
