dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
cora,BundleSheaf,false,5,3,epoch-0,0,0,degree,-0.016075609672331785
cora,BundleSheaf,false,5,3,epoch-0,1,0,degree,0.8581128244543699
cora,BundleSheaf,false,5,3,epoch-0,2,0,degree,0.7775764864464207
cora,BundleSheaf,false,5,3,epoch-0,3,0,degree,0.657580418413118
cora,BundleSheaf,false,5,3,epoch-0,0,0,betweenness,-0.05462955419544847
cora,BundleSheaf,false,5,3,epoch-0,1,0,betweenness,0.6436310848653916
cora,BundleSheaf,false,5,3,epoch-0,2,0,betweenness,0.6572916336785517
cora,BundleSheaf,false,5,3,epoch-0,3,0,betweenness,0.5821981182490181
cora,BundleSheaf,false,5,3,epoch-0,0,0,confidence,-0.012865767464442493
cora,BundleSheaf,false,5,3,epoch-0,1,0,confidence,0.5890825737880153
cora,BundleSheaf,false,5,3,epoch-0,2,0,confidence,0.9147504713792383
cora,BundleSheaf,false,5,3,epoch-0,3,0,confidence,0.9517506503757595
cora,BundleSheaf,false,5,3,epoch-0,0,0,saliency,-0.03292817737645204
cora,BundleSheaf,false,5,3,epoch-0,1,0,saliency,0.5100650276996115
cora,BundleSheaf,false,5,3,epoch-0,2,0,saliency,0.8731668760646258
cora,BundleSheaf,false,5,3,epoch-0,3,0,saliency,0.9543298875412203
cora,BundleSheaf,false,5,3,epoch-0,0,0,cohens_d_train,0.0785308
cora,BundleSheaf,false,5,3,epoch-0,1,0,cohens_d_train,0.15667163
cora,BundleSheaf,false,5,3,epoch-0,2,0,cohens_d_train,0.16159706
cora,BundleSheaf,false,5,3,epoch-0,3,0,cohens_d_train,0.1063315
cora,BundleSheaf,false,5,3,epoch-0,0,0,cohens_d_test,0.04577632
cora,BundleSheaf,false,5,3,epoch-0,1,0,cohens_d_test,0.036559694
cora,BundleSheaf,false,5,3,epoch-0,2,0,cohens_d_test,0.048719667
cora,BundleSheaf,false,5,3,epoch-0,3,0,cohens_d_test,0.064189956
cora,BundleSheaf,false,5,3,epoch-0,0,1,degree,-0.028379927192030557
cora,BundleSheaf,false,5,3,epoch-0,1,1,degree,0.8431896779330396
cora,BundleSheaf,false,5,3,epoch-0,2,1,degree,0.7758808827368265
cora,BundleSheaf,false,5,3,epoch-0,3,1,degree,0.6608221336489294
cora,BundleSheaf,false,5,3,epoch-0,0,1,betweenness,-0.007283897658508015
cora,BundleSheaf,false,5,3,epoch-0,1,1,betweenness,0.6423458611761094
cora,BundleSheaf,false,5,3,epoch-0,2,1,betweenness,0.6554708208646298
cora,BundleSheaf,false,5,3,epoch-0,3,1,betweenness,0.5855785308737169
cora,BundleSheaf,false,5,3,epoch-0,0,1,confidence,-0.011567676950427562
cora,BundleSheaf,false,5,3,epoch-0,1,1,confidence,0.5723603168763983
