dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
cornell,BundleSheaf,false,2,2,epoch-0,0,0,degree,-0.07410172228439552
cornell,BundleSheaf,false,2,2,epoch-0,1,0,degree,0.3980014599296142
cornell,BundleSheaf,false,2,2,epoch-0,2,0,degree,0.2738967355865789
cornell,BundleSheaf,false,2,2,epoch-0,0,0,betweenness,-0.023247209815971715
cornell,BundleSheaf,false,2,2,epoch-0,1,0,betweenness,0.2923801431831772
cornell,BundleSheaf,false,2,2,epoch-0,2,0,betweenness,0.330618250538039
cornell,BundleSheaf,false,2,2,epoch-0,0,0,confidence,0.11569595764178803
cornell,BundleSheaf,false,2,2,epoch-0,1,0,confidence,0.2215484088256719
cornell,BundleSheaf,false,2,2,epoch-0,2,0,confidence,0.685550194637864
cornell,BundleSheaf,false,2,2,epoch-0,0,0,saliency,-0.018230166127528924
cornell,BundleSheaf,false,2,2,epoch-0,1,0,saliency,0.2523282134828821
cornell,BundleSheaf,false,2,2,epoch-0,2,0,saliency,0.8933447165806397
cornell,BundleSheaf,false,2,2,epoch-0,0,0,cohens_d_train,0.23704818
cornell,BundleSheaf,false,2,2,epoch-0,1,0,cohens_d_train,0.25183573
cornell,BundleSheaf,false,2,2,epoch-0,2,0,cohens_d_train,0.31716287
cornell,BundleSheaf,false,2,2,epoch-0,0,0,cohens_d_test,1.2581779
cornell,BundleSheaf,false,2,2,epoch-0,1,0,cohens_d_test,1.8353455
cornell,BundleSheaf,false,2,2,epoch-0,2,0,cohens_d_test,0.40772286
cornell,BundleSheaf,false,2,2,epoch-0,0,1,degree,-0.06960931304761155
cornell,BundleSheaf,false,2,2,epoch-0,1,1,degree,0.4423022036473738
cornell,BundleSheaf,false,2,2,epoch-0,2,1,degree,0.3149865684417749
cornell,BundleSheaf,false,2,2,epoch-0,0,1,betweenness,-0.1839801498148875
cornell,BundleSheaf,false,2,2,epoch-0,1,1,betweenness,0.37132968830339996
cornell,BundleSheaf,false,2,2,epoch-0,2,1,betweenness,0.360033066059853
cornell,BundleSheaf,false,2,2,epoch-0,0,1,confidence,0.03077784652980662
cornell,BundleSheaf,false,2,2,epoch-0,1,1,confidence,0.41216427905665265
cornell,BundleSheaf,false,2,2,epoch-0,2,1,confidence,0.6710228474305454
cornell,BundleSheaf,false,2,2,epoch-0,0,1,saliency,0.03342131852466849
cornell,BundleSheaf,false,2,2,epoch-0,1,1,saliency,0.43600643832290314
cornell,BundleSheaf,false,2,2,epoch-0,2,1,saliency,0.8902273777541064
cornell,BundleSheaf,false,2,2,epoch-0,0,1,cohens_d_train,0.23562501
