dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
minesweeper,BundleSheaf,false,5,6,epoch-0,0,0,degree,0.011013339084604102
minesweeper,BundleSheaf,false,5,6,epoch-0,1,0,degree,0.14910910262176125
minesweeper,BundleSheaf,false,5,6,epoch-0,2,0,degree,0.24918390694249268
minesweeper,BundleSheaf,false,5,6,epoch-0,3,0,degree,0.3120602727274206
minesweeper,BundleSheaf,false,5,6,epoch-0,4,0,degree,0.33387622691854024
minesweeper,BundleSheaf,false,5,6,epoch-0,5,0,degree,0.3351942908250544
minesweeper,BundleSheaf,false,5,6,epoch-0,6,0,degree,0.33607003873788505
minesweeper,BundleSheaf,false,5,6,epoch-0,0,0,betweenness,0.008264540947826448
minesweeper,BundleSheaf,false,5,6,epoch-0,1,0,betweenness,0.08080300436754695
minesweeper,BundleSheaf,false,5,6,epoch-0,2,0,betweenness,0.11012624459021812
minesweeper,BundleSheaf,false,5,6,epoch-0,3,0,betweenness,0.1339623036244457
minesweeper,BundleSheaf,false,5,6,epoch-0,4,0,betweenness,0.14630046082627143
minesweeper,BundleSheaf,false,5,6,epoch-0,5,0,betweenness,0.14972380880107733
minesweeper,BundleSheaf,false,5,6,epoch-0,6,0,betweenness,0.15645807778021326
minesweeper,BundleSheaf,false,5,6,epoch-0,0,0,confidence,0.0066692972841578485
minesweeper,BundleSheaf,false,5,6,epoch-0,1,0,confidence,0.018140521363608223
minesweeper,BundleSheaf,false,5,6,epoch-0,2,0,confidence,0.011441384307896242
minesweeper,BundleSheaf,false,5,6,epoch-0,3,0,confidence,0.010446481034977953
minesweeper,BundleSheaf,false,5,6,epoch-0,4,0,confidence,0.004500934053201147
minesweeper,BundleSheaf,false,5,6,epoch-0,5,0,confidence,0.011303038626298712
minesweeper,BundleSheaf,false,5,6,epoch-0,6,0,confidence,0.01667434349930637
minesweeper,BundleSheaf,false,5,6,epoch-0,0,0,saliency,0.04299587095880595
minesweeper,BundleSheaf,false,5,6,epoch-0,1,0,saliency,0.09087564843789912
minesweeper,BundleSheaf,false,5,6,epoch-0,2,0,saliency,0.14306743679924958
minesweeper,BundleSheaf,false,5,6,epoch-0,3,0,saliency,0.15519586342735536
minesweeper,BundleSheaf,false,5,6,epoch-0,4,0,saliency,0.16927669067629042
minesweeper,BundleSheaf,false,5,6,epoch-0,5,0,saliency,0.16626668555066207
minesweeper,BundleSheaf,false,5,6,epoch-0,6,0,saliency,0.16797346978924646
minesweeper,BundleSheaf,false,5,6,epoch-0,0,0,cohens_d_train,0.14989223
minesweeper,BundleSheaf,false,5,6,epoch-0,1,0,cohens_d_train,0.011191495
minesweeper,BundleSheaf,false,5,6,epoch-0,2,0,cohens_d_train,0.083897725
minesweeper,BundleSheaf,false,5,6,epoch-0,3,0,cohens_d_train,0.062108498
minesweeper,BundleSheaf,false,5,6,epoch-0,4,0,cohens_d_train,0.095167436
minesweeper,BundleSheaf,false,5,6,epoch-0,5,0,cohens_d_train,0.060428638
minesweeper,BundleSheaf,false,5,6,epoch-0,6,0,cohens_d_train,0.057684124
minesweeper,BundleSheaf,false,5,6,epoch-0,0,0,cohens_d_test,0.037662312
minesweeper,BundleSheaf,false,5,6,epoch-0,1,0,cohens_d_test,0.010748016
minesweeper,BundleSheaf,false,5,6,epoch-0,2,0,cohens_d_test,0.12891634
minesweeper,BundleSheaf,false,5,6,epoch-0,3,0,cohens_d_test,0.08396476
minesweeper,BundleSheaf,false,5,6,epoch-0,4,0,cohens_d_test,0.17540812
minesweeper,BundleSheaf,false,5,6,epoch-0,5,0,cohens_d_test,0.11845092
minesweeper,BundleSheaf,false,5,6,epoch-0,6,0,cohens_d_test,0.11898475
minesweeper,BundleSheaf,false,5,6,epoch-0,0,1,degree,-0.012524177631766643
minesweeper,BundleSheaf,false,5,6,epoch-0,1,1,degree,0.1935010700114721
minesweeper,BundleSheaf,false,5,6,epoch-0,2,1,degree,0.252502761290037
minesweeper,BundleSheaf,false,5,6,epoch-0,3,1,degree,0.31290865777725724
minesweeper,BundleSheaf,false,5,6,epoch-0,4,1,degree,0.33102852912417763
minesweeper,BundleSheaf,false,5,6,epoch-0,5,1,degree,0.33456863887865745
minesweeper,BundleSheaf,false,5,6,epoch-0,6,1,degree,0.33472164080689454
minesweeper,BundleSheaf,false,5,6,epoch-0,0,1,betweenness,0.015435601436771411
minesweeper,BundleSheaf,false,5,6,epoch-0,1,1,betweenness,0.08957122061950216
minesweeper,BundleSheaf,false,5,6,epoch-0,2,1,betweenness,0.10859144764745264
minesweeper,BundleSheaf,false,5,6,epoch-0,3,1,betweenness,0.12896890704510577
minesweeper,BundleSheaf,false,5,6,epoch-0,4,1,betweenness,0.12721605859674034
minesweeper,BundleSheaf,false,5,6,epoch-0,5,1,betweenness,0.13033376923842072
minesweeper,BundleSheaf,false,5,6,epoch-0,6,1,betweenness,0.13713031265106262
minesweeper,BundleSheaf,false,5,6,epoch-0,0,1,confidence,0.0014598359871796493
minesweeper,BundleSheaf,false,5,6,epoch-0,1,1,confidence,0.014253717173648178
minesweeper,BundleSheaf,false,5,6,epoch-0,2,1,confidence,0.014684514478955694
minesweeper,BundleSheaf,false,5,6,epoch-0,3,1,confidence,0.01896728010409682
minesweeper,BundleSheaf,false,5,6,epoch-0,4,1,confidence,0.024059972030145572
minesweeper,BundleSheaf,false,5,6,epoch-0,5,1,confidence,0.024099867015968883
minesweeper,BundleSheaf,false,5,6,epoch-0,6,1,confidence,0.025462569365193297
minesweeper,BundleSheaf,false,5,6,epoch-0,0,1,saliency,0.011068339481181418
minesweeper,BundleSheaf,false,5,6,epoch-0,1,1,saliency,0.09764563504019014
minesweeper,BundleSheaf,false,5,6,epoch-0,2,1,saliency,0.10816491624424511
minesweeper,BundleSheaf,false,5,6,epoch-0,3,1,saliency,0.12301796981002497
minesweeper,BundleSheaf,false,5,6,epoch-0,4,1,saliency,0.1296651427098184
minesweeper,BundleSheaf,false,5,6,epoch-0,5,1,saliency,0.12401090821159722
minesweeper,BundleSheaf,false,5,6,epoch-0,6,1,saliency,0.12574031231328922
minesweeper,BundleSheaf,false,5,6,epoch-0,0,1,cohens_d_train,0.42322946
minesweeper,BundleSheaf,false,5,6,epoch-0,1,1,cohens_d_train,0.13894308
minesweeper,BundleSheaf,false,5,6,epoch-0,2,1,cohens_d_train,0.10775795
minesweeper,BundleSheaf,false,5,6,epoch-0,3,1,cohens_d_train,0.026550276
minesweeper,BundleSheaf,false,5,6,epoch-0,4,1,cohens_d_train,0.0535148
minesweeper,BundleSheaf,false,5,6,epoch-0,5,1,cohens_d_train,0.022846363
minesweeper,BundleSheaf,false,5,6,epoch-0,6,1,cohens_d_train,0.04256306
minesweeper,BundleSheaf,false,5,6,epoch-0,0,1,cohens_d_test,0.20957382
minesweeper,BundleSheaf,false,5,6,epoch-0,1,1,cohens_d_test,0.039661303
minesweeper,BundleSheaf,false,5,6,epoch-0,2,1,cohens_d_test,0.026370661
minesweeper,BundleSheaf,false,5,6,epoch-0,3,1,cohens_d_test,0.07146221
minesweeper,BundleSheaf,false,5,6,epoch-0,4,1,cohens_d_test,0.14592355
minesweeper,BundleSheaf,false,5,6,epoch-0,5,1,cohens_d_test,0.13100815
minesweeper,BundleSheaf,false,5,6,epoch-0,6,1,cohens_d_test,0.11175351
minesweeper,BundleSheaf,false,5,6,epoch-0,0,2,degree,-0.0012919568026631154
minesweeper,BundleSheaf,false,5,6,epoch-0,1,2,degree,0.1933976778400603
minesweeper,BundleSheaf,false,5,6,epoch-0,2,2,degree,0.25666989058818046
minesweeper,BundleSheaf,false,5,6,epoch-0,3,2,degree,0.31352753268805655
minesweeper,BundleSheaf,false,5,6,epoch-0,4,2,degree,0.3309257108178721
minesweeper,BundleSheaf,false,5,6,epoch-0,5,2,degree,0.33463686667176784
minesweeper,BundleSheaf,false,5,6,epoch-0,6,2,degree,0.3368255173844472
minesweeper,BundleSheaf,false,5,6,epoch-0,0,2,betweenness,-0.01777902838653541
minesweeper,BundleSheaf,false,5,6,epoch-0,1,2,betweenness,0.09502159024766572
minesweeper,BundleSheaf,false,5,6,epoch-0,2,2,betweenness,0.11773346394063264
minesweeper,BundleSheaf,false,5,6,epoch-0,3,2,betweenness,0.13387079593873216
minesweeper,BundleSheaf,false,5,6,epoch-0,4,2,betweenness,0.13727420709968394
