dataset,model,normalised,d,layers,checkpoint,layer,fold,observable,value
pubmed,BundleSheaf,false,5,4,epoch-0,0,0,degree,-0.0018232888146370318
pubmed,BundleSheaf,false,5,4,epoch-0,1,0,degree,0.8255840019567307
pubmed,BundleSheaf,false,5,4,epoch-0,2,0,degree,0.7906297488353211
pubmed,BundleSheaf,false,5,4,epoch-0,3,0,degree,0.6512882205854417
pubmed,BundleSheaf,false,5,4,epoch-0,4,0,degree,0.566161563939553
pubmed,BundleSheaf,false,5,4,epoch-0,0,0,betweenness,-0.002245595568569795
pubmed,BundleSheaf,false,5,4,epoch-0,1,0,betweenness,0.7689386706305679
pubmed,BundleSheaf,false,5,4,epoch-0,2,0,betweenness,0.7308435992434588
pubmed,BundleSheaf,false,5,4,epoch-0,3,0,betweenness,0.5986160345986902
pubmed,BundleSheaf,false,5,4,epoch-0,4,0,betweenness,0.5191454092967548
pubmed,BundleSheaf,false,5,4,epoch-0,0,0,confidence,-0.05876010078545417
pubmed,BundleSheaf,false,5,4,epoch-0,1,0,confidence,0.3791935542111252
pubmed,BundleSheaf,false,5,4,epoch-0,2,0,confidence,0.7496831522595933
pubmed,BundleSheaf,false,5,4,epoch-0,3,0,confidence,0.8019375740940984
pubmed,BundleSheaf,false,5,4,epoch-0,4,0,confidence,0.8217208742117438
pubmed,BundleSheaf,false,5,4,epoch-0,0,0,saliency,-0.05396120491598237
pubmed,BundleSheaf,false,5,4,epoch-0,1,0,saliency,0.44219741636450055
pubmed,BundleSheaf,false,5,4,epoch-0,2,0,saliency,0.8228910859994946
pubmed,BundleSheaf,false,5,4,epoch-0,3,0,saliency,0.8908743123350733
pubmed,BundleSheaf,false,5,4,epoch-0,4,0,saliency,0.9143341447194187
pubmed,BundleSheaf,false,5,4,epoch-0,0,0,cohens_d_train,0.08090563
pubmed,BundleSheaf,false,5,4,epoch-0,1,0,cohens_d_train,0.1258827
pubmed,BundleSheaf,false,5,4,epoch-0,2,0,cohens_d_train,0.07245256
pubmed,BundleSheaf,false,5,4,epoch-0,3,0,cohens_d_train,0.027312497
pubmed,BundleSheaf,false,5,4,epoch-0,4,0,cohens_d_train,0.012815308
pubmed,BundleSheaf,false,5,4,epoch-0,0,0,cohens_d_test,0.084406845
pubmed,BundleSheaf,false,5,4,epoch-0,1,0,cohens_d_test,0.09617319
pubmed,BundleSheaf,false,5,4,epoch-0,2,0,cohens_d_test,0.047458895
pubmed,BundleSheaf,false,5,4,epoch-0,3,0,cohens_d_test,0.0011795422
pubmed,BundleSheaf,false,5,4,epoch-0,4,0,cohens_d_test,0.011437508
